"Freq [GHz]","dB(St(2,1)) [] - g_pillar_position='27.4um'","dB(St(2,1)) [] - g_pillar_position='28.4um'","dB(St(2,1)) [] - g_pillar_position='42.4um'","dB(St(2,1)) [] - g_pillar_position='57.4um'","dB(St(2,1)) [] - g_pillar_position='72.4um'","dB(St(2,1)) [] - g_pillar_position='87.4um'","dB(St(2,1)) [] - g_pillar_position='102.4um'"
2.9,-0.0486395027471178,-0.0489303570040821,-0.0481175133190402,-0.048099994533985,-0.049089914406435,-0.0495225322551483,-0.0500951461714958
3,-0.0488924818273229,-0.0491193034673467,-0.0483699438564265,-0.0483556435981739,-0.0492845812079684,-0.0497596573063181,-0.0505213530991497
3.1,-0.0491378806825171,-0.049301035806865,-0.048614540858283,-0.0486034736684209,-0.0494717339234821,-0.049991453243045,-0.0508582388733761
3.2,-0.0493767119515414,-0.0494768611439511,-0.0488523003271353,-0.0488444620169777,-0.0496526234848502,-0.050218719929199,-0.0507486693941617
3.3,-0.0496098826229231,-0.0496479277006508,-0.0490841171384798,-0.0490794879701675,-0.049828344363017,-0.0504421775378494,-0.0505780644060589
3.4,-0.0498382051926662,-0.0498152469832461,-0.0493107954103742,-0.049309342762684,-0.0499998561926555,-0.0506624669388658,-0.0506308766196453
3.5,-0.0500623907755933,-0.0499797025123377,-0.0495330394676238,-0.0495347198162286,-0.0501679893375903,-0.0508801439312841,-0.050791354120891
3.6,-0.050283100573702,-0.0501420960750485,-0.0497515076421495,-0.0497562685897145,-0.0503334956621459,-0.0510957126443304,-0.0509871141133914
3.7,-0.050500938520079,-0.0503031425463274,-0.0499668044795822,-0.0499745866924077,-0.0504970443484015,-0.051309620975943,-0.0511940986036403
3.8,-0.0507164287466138,-0.0504634663585689,-0.0501794548177445,-0.0501901931376265,-0.050659212518716,-0.0515222505063687,-0.0514045365603263
3.9,-0.0509300421334238,-0.0506236250614455,-0.0503899314435678,-0.0504035560090561,-0.0508205113018194,-0.0517339359051863,-0.0516158138973054
4,-0.0511422020442123,-0.0507841175505186,-0.0505986605442321,-0.0506150977416338,-0.0509813941227782,-0.0519449710519246,-0.0518271070381175
4.1,-0.0513532894268723,-0.0509453910629177,-0.0508060265741144,-0.0508251998460449,-0.0511422638226397,-0.0521556144964793,-0.0520382486569541
4.2,-0.051563647346848,-0.0511078471276169,-0.0510123765973078,-0.0510342071320333,-0.051303478787337,-0.0523660942663814,-0.0522493154469558
4.3,-0.0517735850153615,-0.0512718466292595,-0.0512180241609184,-0.0512424314813279,-0.0514653582369968,-0.0525766120610798,-0.0524604690551453
4.4,-0.051983381368699,-0.0514377141205117,-0.0514232527495491,-0.0514501552174941,-0.0516281868022867,-0.0527873468887218,-0.0526718925507234
4.5,-0.052193288249371,-0.0516057414982139,-0.051628318866581,-0.0516576341155922,-0.0517922184944262,-0.0529984582058772,-0.0528837651095492
4.6,-0.0524035332344309,-0.051776191141892,-0.0518334547833521,-0.0518651000904471,-0.0519576801583366,-0.0532100886199,-0.0530962526179942
4.7,-0.0526143221514023,-0.0519492985996566,-0.0520388709930483,-0.0520727635985762,-0.0521247744842036,-0.0534223662098062,-0.0533095050347361
4.8,-0.0528258413177471,-0.0521252748948295,-0.0522447584020931,-0.0522808157850997,-0.0522936826409739,-0.0536354065164889,-0.0535236565868626
4.9,-0.0530382595355807,-0.0523043085169604,-0.0524512902884027,-0.0524894304037172,-0.0524645665852636,-0.053849314247576,-0.0537388270738376
5,-0.0532517298698173,-0.0524865671524011,-0.0526586240523615,-0.052698765534639,-0.0526375710908608,-0.054064184736727,-0.053955123512638
5.1,-0.0534663912344971,-0.0526721992024543,-0.0528669027836534,-0.0529089651227826,-0.0528128255371819,-0.0542801051920154,-0.0541726417890688
5.2,-0.0536823698091951,-0.0528613351304845,-0.0530762566643439,-0.0531201603559333,-0.0529904454891014,-0.0544971557635768,-0.0543914681783268
5.3,-0.0538997803048096,-0.0530540886736604,-0.0532868042263179,-0.0533324709004067,-0.0531705340957856,-0.0547154104563437,-0.0546116806888809
5.4,-0.054118727095738,-0.0532505579496194,-0.0534986534790658,-0.053546006009726,-0.0533531833320583,-0.0549349379102753,-0.0548333502248475
5.5,-0.0543393052334263,-0.0534508264834166,-0.0537119029220258,-0.0537608655201627,-0.0535384751023986,-0.0551558020671436,-0.0550565415794772
5.6,-0.0545616013545339,-0.05365496417553,-0.0539266424540054,-0.0539771407453053,-0.0537264822247945,-0.0553780627403773,-0.0552813142787953
5.7,-0.0547856944953479,-0.0538630282274376,-0.0541429541908189,-0.0541949152805148,-0.0539172693092153,-0.0556017761020301,-0.0555077232954407
5.8,-0.0550116568227904,-0.0540750640373711,-0.0543609132009509,-0.0544142657268723,-0.0541108935434887,-0.0558269950987946,-0.0557358196516529
5.9,-0.0552395542910625,-0.054291106075157,-0.0545805881680249,-0.0546352623431857,-0.0543074053974627,-0.0560537698076145,-0.0559656509283817
6,-0.055469467334768,-0.0545112184105676,-0.0548020599902593,-0.0548579869834777,-0.0545068783808266,-0.0562821638975703,-0.0561972795496331
6.1,-0.0557014320660848,-0.054735376686527,-0.0550253693290016,-0.0550824826265814,-0.0547093228860846,-0.0565122072447693,-0.0564307303435193
6.2,-0.0559354989942071,-0.054963587482553,-0.0552505689440907,-0.0553088036829935,-0.0549147726445801,-0.0567439429158756,-0.0566660428309812
6.3,-0.0561717144607761,-0.0551958498446056,-0.0554777072850124,-0.0555370002629461,-0.0551232568580513,-0.0569774120890588,-0.0569032544597924
6.4,-0.0564101210267,-0.0554321560901285,-0.0557068288855781,-0.0557671185649307,-0.0553348006129942,-0.0572126542153056,-0.057142400823258
6.5,-0.0566507578212583,-0.0556724925924885,-0.0559379747207993,-0.0559992012269297,-0.0555494252551654,-0.0574497071565901,-0.0573835158459205
6.6,-0.0568936608572844,-0.05591684054005,-0.0561711825297972,-0.0562332876442418,-0.0557671487284005,-0.0576886073042832,-0.0576266319413602
6.7,-0.0571388633159315,-0.0561651766648591,-0.0564064871080829,-0.0564694142570716,-0.0559879858814987,-0.0579293896807871,-0.0578717801465985
6.8,-0.057386395804043,-0.0564174739361992,-0.0566439205722286,-0.0567076148110064,-0.0562119487463911,-0.0581720880269236,-0.0581189902367018
6.9,-0.0576362865869027,-0.0566737022143956,-0.0568835125997125,-0.0569479205929306,-0.0564390467905341,-0.058416734877189,-0.0583682908227265
7,-0.0578885617988142,-0.0569338288611324,-0.0571252906462737,-0.0571903606448714,-0.0566692871460821,-0.0586633616247913,-0.0586197094355929
7.1,-0.0581432456336623,-0.0571978193030926,-0.0573692801429494,-0.057434961957798,-0.0569026748181551,-0.0589119985779808,-0.058873272598083
7.2,-0.0584003605174129,-0.0574656375467585,-0.0576155046747942,-0.0576817496473776,-0.0571392128742099,-0.0591626750090635,-0.0591290058867917
7.3,-0.0586599272643297,-0.0577372466430098,-0.0578639861429671,-0.0579307471133477,-0.0573789026163272,-0.0594154191972273,-0.05938693398562
7.4,-0.0589219652184533,-0.0580126091011447,-0.0581147449117653,-0.0581819761841172,-0.0576217437380846,-0.0596702584662044,-0.0596470807320728
7.5,-0.0591864923817527,-0.0582916872527498,-0.0583677999420088,-0.0584354572479121,-0.0578677344674244,-0.0599272192175097,-0.0599094691575138
7.6,-0.0594535255301587,-0.0585744435666556,-0.058623168912077,-0.0586912093717466,-0.0581168716968471,-0.0601863269600748,-0.0601741215222739
