"Freq [GHz]","dB(St(1,1)) [] - g_pillar_position='27.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='28.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='42.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='57.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='72.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='87.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='102.4um' gpillar_r='5um'"
4.6,-35.4992108352646,-35.7691836813173,-36.2217335350913,-36.6533983038613,-37.2745612632089,-37.3016591296355,-36.5524416292446
4.7,-35.3495252967473,-35.597404499548,-36.0720749425568,-36.4916986986809,-37.1080752512868,-37.1192492924296,-36.3851374405667
4.8,-35.2018854340614,-35.428090102416,-35.9244518897715,-36.3325595094986,-36.9440137967771,-36.9406758632048,-36.2206446924648
4.9,-35.0562463867129,-35.2612385661389,-35.7788202984029,-36.1759098765212,-36.7822926786466,-36.7657465950921,-36.0588470698246
5,-34.9125640037383,-35.0968484812839,-35.6351366992703,-36.0216809177853,-36.6228372506165,-36.5942866810769,-35.8996436986487
5.1,-34.7707949591566,-34.9349179470767,-35.4933583639214,-35.8698058191947,-36.4655810357896,-36.4261365816497,-35.7429449172177
5.2,-34.6308968388649,-34.7754437153996,-35.3534434047961,-35.7202198875145,-36.3104645053966,-36.2611501770914,-35.588669543824
5.3,-34.4928282038194,-34.6184204758512,-35.2153508493606,-35.5728605735387,-36.1574340204159,-36.0991931882317,-35.4367430520785
5.4,-34.3565486336096,-34.4638402738604,-35.0790406927605,-35.42766747144,-36.0064409170686,-35.940141820651,-35.2870963113078
5.5,-34.2220187539096,-34.3116920541375,-34.9444739328227,-35.2845822992877,-35.8574407191728,-35.7838815959229,-35.1396646880042
5.6,-34.0892002507436,-34.1619613217765,-34.8116125906227,-35.143548864866,-35.7103924621213,-35.6303063402632,-34.9943873839666
5.7,-33.9580558740512,-34.0146299131385,-34.6804197193274,-35.0045130202035,-35.5652581148453,-35.4793173062915,-34.8512069336886
5.8,-33.8285494326354,-33.8696758683209,-34.550859403578,-34.8674226076233,-35.4220020875738,-35.330822407866,-34.7100688117397
5.9,-33.7006457822518,-33.727073396594,-34.4228967513147,-34.7322273996188,-35.2805908145087,-35.184735551366,-34.5709211181682
6,-33.5743258654044,-33.5868153700259,-34.2965128908205,-34.598896687527,-35.1410098778345,-35.0409981279748,-34.4337328878258
6.1,-33.4495409005884,-33.448845409302,-34.171659304189,-34.4673653925299,-35.0032107187336,-34.8995108902549,-34.2984373001767
6.2,-33.3262587920331,-33.3131267236865,-34.0483040935874,-34.3375887283788,-34.8671639758231,-34.7602025936912,-34.1649889963919
6.3,-33.2044483995561,-33.1796193067948,-33.9264163032182,-34.2095235669324,-34.7328412071407,-34.6230060166356,-34.0333444250225
6.4,-33.0840795100042,-33.0482802257102,-33.8059658923967,-34.0831283692379,-34.6002147236025,-34.487857606853,-33.9034617059943
6.5,-32.9651228076946,-32.9190639441423,-33.6869237073895,-33.9583631175253,-34.4692574532808,-34.3546971676654,-33.7753005111433
6.6,-32.8475498443217,-32.7919226699769,-33.5692614525161,-33.8351892485884,-34.3399428319494,-34.2234675786202,-33.6488219584839
6.7,-32.731333008704,-32.6668067180519,-33.4529516609199,-33.7135695889156,-34.2122447159215,-34.0941145463297,-33.5239885180451
6.8,-32.6164454966755,-32.5436648796232,-33.3379676653336,-33.5934682918396,-34.0861373137154,-33.9665863817367,-33.4007639275543
6.9,-32.5028612813573,-32.4224447907585,-33.2242835691033,-33.4748507768939,-33.9615951335368,-33.8408338005764,-33.2791131165955
7,-32.3905550840009,-32.3030932927729,-33.1118742176762,-33.3576836715082,-33.8385929439703,-33.7168097442369,-33.1590021381122
7.1,-32.2795023455458,-32.1855567787666,-33.0007151707099,-33.2419347551177,-33.7171057456274,-33.5944692185998,-33.0403981063205
7.2,-32.1696791989978,-32.0697815213212,-32.8907826749274,-33.1275729057225,-33.5971087518155,-33.4737691487514,-32.9232691402502
7.3,-32.0610624427093,-31.9557139773994,-32.7820536378047,-33.014568048901,-33.4785773765627,-33.3546682477326,-32.8075843122438
7.4,-31.9536295146118,-31.8433010674749,-32.674505602155,-32.9028911092538,-33.3614872285816,-33.2371268977289,-32.6933136008493
7.5,-31.8473584674356,-31.7324904268384,-32.5681167216501,-32.7925139642353,-33.2458141099622,-33.1211070422988,-32.5804278476104
7.6,-31.7422279449312,-31.6232306278829,-32.4628657373036,-32.6834094003123,-33.1315340185672,-33.0065720884184,-32.4688987173303
7.7,-31.6382171590975,-31.5154713729396,-32.3587319549233,-32.5755510713805,-33.0186231532691,-32.8934868172658,-32.3586986614369
7.8,-31.5353058684076,-31.4091636579061,-32.2556952235324,-32.4689134593574,-32.9070579213004,-32.7818173028014,-32.2498008841245
7.9,-31.4334743570171,-31.3042599074798,-32.1537359147465,-32.3634718368684,-32.7968149471099,-32.6715308373115,-32.1421793109858
