"Freq [GHz]","lost_power_fraction [] - g_pillar_position='27.4um'","lost_power_fraction [] - g_pillar_position='28.4um'","lost_power_fraction [] - g_pillar_position='42.4um'","lost_power_fraction [] - g_pillar_position='57.4um'","lost_power_fraction [] - g_pillar_position='72.4um'","lost_power_fraction [] - g_pillar_position='87.4um'","lost_power_fraction [] - g_pillar_position='102.4um'"
1,0.00905327943686807,0.00908129438068739,0.00895407635876744,0.00896584635512343,0.00913227943030681,0.00925022775369821,0.00927331490595762
1.1,0.00924556328327495,0.00932025336199832,0.00914411102744869,0.00915483894261141,0.0093678852192133,0.00950279905522906,0.00951911025488794
1.2,0.00942018402390086,0.0095362981246365,0.0093169584503311,0.00932662928044557,0.0095817531786781,0.00972549011754099,0.00973443603334946
1.3,0.00957962618983915,0.00972957724646704,0.00947509459577846,0.00948382824822063,0.00977381907129161,0.00992118160593372,0.00992281359228461
1.4,0.00972574915232295,0.00990143447073669,0.00962033614341895,0.0096283284211359,0.00994523885161702,0.0100927172883527,0.01008792052922
1.5,0.00986002215616916,0.0100537827323847,0.0097540967162604,0.00976157608945642,0.0100977697687553,0.0102424847384799,0.010233200891494
1.6,0.00998366721867114,0.0101887260156548,0.00987754215126601,0.00988474125418498,0.0102333912382475,0.0103723892286239,0.0103617242708324
1.7,0.0100977432817952,0.0103083459574682,0.00999168005210129,0.009998818621818,0.0103540871705892,0.010484245862767,0.0104761611230754
1.8,0.010203194170436,0.0104145912343915,0.0100974091065896,0.0101046849652278,0.0104617302926166,0.0105804406261019,0.0105788088563456
1.9,0.0103008750766427,0.0105092282483148,0.0101955451811659,0.0102031304872136,0.0105580281047111,0.0106642662550389,0.0106716378566271
2,0.0103915669137085,0.0105938268432749,0.0102868348379455,0.0102948755774687,0.0106445046095323,0.0107393847640392,0.0107563440407593
2.1,0.010475984266372,0.0106697650026797,0.0103719625445403,0.010380579872122,0.0107225018206454,0.0108088238068272,0.010834403452607
2.2,0.0105547802816075,0.0107382429917479,0.0104515550449429,0.0104608475664536,0.0107931914324609,0.0108744481735714,0.0109071296406619
2.3,0.0106285503273472,0.0108003014391291,0.0105261846724109,0.0105362311020511,0.0108575910184292,0.0109371448612159,0.0109757390247722
2.4,0.0106978353232207,0.0108568402897274,0.010596372426875,0.0106072342810296,0.0109165815629845,0.0109972732218606,0.0110414358445285
