"Freq [GHz]","lost_power_fraction [] - dielectric_overlap='1um' pillar_h='10um'","lost_power_fraction [] - dielectric_overlap='1um' pillar_h='50um'","lost_power_fraction [] - dielectric_overlap='200um' pillar_h='50um'","lost_power_fraction [] - dielectric_overlap='205um' pillar_h='50um'"
1,0.0181932483616936,0.0179815656183763,0.0180823130587621,0.0180655761231224
1.1,0.0186832495615541,0.0184335464993188,0.0185257270388188,0.0185312303160564
1.2,0.0191231960293095,0.0188320234144092,0.0189148259180692,0.0189487690223769
1.3,0.0195148169630924,0.0191823321144864,0.0192553885313677,0.019320175471642
1.4,0.0198616898797741,0.019490488041758,0.0195537356234548,0.0196491917891287
1.5,0.0201682087038906,0.0197623990345626,0.0198159724386558,0.0199402685061177
1.6,0.0204389763997997,0.0200034866766937,0.0200476390227648,0.0201979599474272
1.7,0.0206784662226148,0.020218538718373,0.020253586790338,0.0204265983738119
1.8,0.0208908478215494,0.0204116858235079,0.0204379738098477,0.020630137259987
1.9,0.0210799107973744,0.020586440365608,0.0206043170762893,0.0208120937074864
2,0.0212490431304213,0.0207457620768712,0.0207555675591122,0.0209755463537989
2.1,0.0214012384873024,0.020892131438767,0.0208941899118489,0.0211231622130069
2.2,0.021539117272974,0.0210276210321928,0.0210222379127367,0.0212572367010881
2.3,0.021664953202488,0.0211539603398525,0.021141421796169,0.0213797378227366
2.4,0.0217807013835926,0.0212725923797835,0.021253166351184,0.0214923495981083
2.5,0.0218880263280745,0.0213847220542659,0.0213586600297601,0.0215965122588764
2.6,0.0219883295891543,0.0214913568219736,0.0214588959247837,0.0216934581705856
2.7,0.022082777284689,0.0215933405940189,0.0215547056919144,0.0217842432405069
2.8,0.0221723278640577,0.0216913818193599,0.021646787497963,0.0218697739964503
2.9,0.0222577602519125,0.021786076676793,0.021735728990432,0.0219508307263285
3,0.0223397020758152,0.0218779281932088,0.0218220261578173,0.0220280871453157
3.1,0.0224186572205828,0.021967361995181,0.021906098818804,0.0221021270637036
3.2,0.022495031639216,0.0220547392905877,0.0219883033554837,0.0221734584980324
3.3,0.0225691563250137,0.0221403675768394,0.0220689431971703,0.0222425256198418
3.4,0.0226413066239987,0.022224509485219,0.0221482774688999,0.0223097188813482
3.5,0.0227117100193653,0.0223073848714392,0.0222265237728293,0.0223753776247577
3.6,0.0227805752211339,0.0223891897384989,0.0223038752205724,0.0224398132806362
3.7,0.0228480953637168,0.0224700967305617,0.0223805008824284,0.0225033082489698
3.8,0.0229144395782408,0.0225502502035455,0.0224565424685531,0.022566111022368
3.9,0.0229797647435862,0.0226297758394834,0.0225321230069838,0.0226284477603128
4,0.0230442174220818,0.0227087835370366,0.0226073496861621,0.0226905254928614
4.1,0.0231079349707577,0.0227873698294662,0.0226823162397378,0.0227525343923489
4.2,0.0231710461818641,0.0228656199106528,0.0227571049517187,0.0228146490817753
4.3,0.0232336716853871,0.0229436093353782,0.0228317883458465,0.022877028954175
4.4,0.0232959242542145,0.0230214054483276,0.0229064306116857,0.0229398175190182
4.5,0.0233579090886054,0.023099068586763,0.0229810888105918,0.0230031408779301
4.6,0.0234197241157061,0.0231766530940036,0.0230558138972425,0.0230671055621243
4.7,0.023481460315642,0.0232542081744918,0.0231306515862437,0.023131796121574
4.8,0.0235432020728859,0.0233317786160225,0.023205643088314,0.0231972730040146
4.9,0.0236050275457733,0.0234094054003664,0.0232808257364738,0.0232635713457111
5,0.023667009045235,0.0234871262200801,0.0233562335192545,0.0233307012579013
5.1,0.0237292134142511,0.0235649759162673,0.0234318975352036,0.0233986499984058
5.2,0.0237917024008283,0.023642986849734,0.0235078463806317,0.0234673860821303
5.3,0.0238545330189786,0.023721189215932,0.0235841064806743,0.0235368649818587
5.4,0.023917757893725,0.0237996113124245,0.0236607023721416,0.0236070357182011
5.5,0.0239814255875855,0.0238782797662179,0.0237376569453235,0.0236778474467728
5.6,0.0240455809070697,0.023957219727172,0.023814991650807,0.0237492551801429
5.7,0.0241102651886039,0.0240364550326734,0.0238927266764464,0.0238212240111833
5.8,0.0241755165639508,0.0241160083480073,0.0239708810988509,0.0238937315464888
5.9,0.0242413702056249,0.024195901286135,0.0240494730131107,0.0239667686034504
6,0.0243078650676917,0.0242761582349938,0.0241285242620583,0.0240403438389607
6.1,0.0243750250810038,0.0243567956359046,0.0242080469800749,0.0241144664172624
6.2,0.0244428777651511,0.0244378324814896,0.024288056905294,0.0241891591593141
6.3,0.0245114484870362,0.0245192870434019,0.0243685691543676,0.0242644510199366
6.4,0.0245807606207929,0.0246011769273715,0.0244495982820296,0.0243403749144925
6.5,0.024650835694258,0.0246835191206855,0.0245311583322041,0.0244169658780772
6.6,0.0247216935230697,0.0247663300332281,0.0246132628818593,0.0244942596315029
6.7,0.0247933523334646,0.0248496255330938,0.024695925078666,0.0245722915655423
6.8,0.0248658288747261,0.0249334209775478,0.0247791576733341,0.0246510961197658
6.9,0.0249391385222035,0.0250177312400812,0.0248629730474131,0.0247307065206837
7,0.0250132953717272,0.0251025707341203,0.0249473832371941,0.0248111548512919
7.1,0.0250883123261987,0.0251879534338947,0.0250323999542904,0.024892472448114
7.2,0.0251642011750461,0.0252738928928978,0.0251180346033599,0.0249746906647676
7.3,0.0252409726671923,0.0253604022602896,0.0252042982973939,0.0250578421126914
7.4,0.0253186365781221,0.0254474942955396,0.0252912018709135,0.0251419626143837
7.5,0.0253972017715728,0.025535181381566,0.025378755891379,0.025227094337608
7.6,0.0254766762563365,0.0256234755365944,0.0254669706690621,0.0253132910482911
7.7,0.0255570672385996,0.0257123884248957,0.0255558562656036,0.0254006274378718
7.8,0.0256383811702318,0.0258019313665783,0.025645422501437,0.0254892168720717
7.9,0.0257206237933678,0.0258921153465447,0.0257356789622376,0.0255792480499868
8,0.0258038001816155,0.0259829510227183,0.0258266350045356,0.025671068504907
8.1,0.0258879147781833,0.0260744487336406,0.0259182997605887,0.0257653973195964
8.2,0.0259729714311851,0.0261666185055116,0.0260106821426354,0.0258639046270571
8.3,0.0260589734263852,0.0262594700587162,0.0261037908465822,0.0259690024381372
8.4,0.0261459281762692,0.0263530162469877,0.0261976379978141,0.0259401655026701
8.5,0.026233837956445,0.0264472663244316,0.0262922319851007,0.0260518264883769
8.6,0.0263226998785559,0.0265422257316717,0.0263875772642536,0.0261775090584889
8.7,0.0264125152499472,0.0266379030149643,0.0264836816880983,0.0262845017520276
8.8,0.0265032849484148,0.0267343064416325,0.0265805529053592,0.0263868128624716
8.9,0.0265950094433752,0.0268314440044188,0.026678198362106,0.0264877881050477
9,0.026687688815621,0.0269293234255581,0.0267766253029368,0.0265885706228674
9.1,0.0267813227757787,0.027027952160598,0.0268758407719278,0.0266896496691818
9.2,0.026875910681582,0.0271273374019559,0.0269758516133447,0.0267912673675271
9.3,0.0269714515540338,0.0272274860822534,0.0270766644721385,0.0268935560158613
9.4,0.0270679440925491,0.0273284048774016,0.0271782857942456,0.0269965931030686
9.5,0.0271653866891592,0.0274301002094764,0.0272807218266711,0.0271004262677108
9.6,0.0272637774418313,0.0275325782493709,0.0273839786173985,0.0272050857396211
9.7,0.0273631141669881,0.0276358449192368,0.0274880620150959,0.0273105910192011
9.8,0.0274633944112635,0.0277399058947261,0.0275929776686496,0.0274169546850946
9.9,0.027564615462562,0.0278447666070225,0.0276987310265101,0.0275241846755547
10,0.0276667743604638,0.0279504322446866,0.0278053273358684,0.0276322857140175
10.1,0.0277698679060199,0.0280569077553045,0.0279127716416479,0.0277412602327365
10.2,0.0278738926709767,0.0281641978469559,0.0280210687853383,0.0278511089903866
10.3,0.0279788450064768,0.0282723069894923,0.0281302234036434,0.0279618314967618
10.4,0.0280847210512482,0.0283812394156457,0.0282402399269798,0.0280734263122678
10.5,0.0281915167393324,0.02849099912196,0.0283511225777968,0.0281858912639793
10.6,0.0282992278073749,0.0286015898695591,0.0284628753687391,0.0282992236048713
10.7,0.0284078498014947,0.0287130151847449,0.0285755021006519,0.0284134201334778
10.8,0.0285173780837689,0.0288252783594503,0.0286890063604355,0.0285284772855244
10.9,0.0286278166279832,0.028938390723376,0.0288034001857399,0.028644399565467
11,0.0287391515573784,0.0290523468784478,0.0289186781179245,0.0287611744405972
11.1,0.0288513777126119,0.0291671494080184,0.0290348430812976,0.0288787976273374
11.2,0.0289644897728836,0.0292828006613612,0.0291518977760372,0.0289972646918433
11.3,0.0290784822607307,0.0293993027534031,0.0292698446753122,0.0291165710811021
11.4,0.0291933495465314,0.0295166575643287,0.0293886860222942,0.0292367121493401
11.5,0.0293090858527303,0.0296348667390716,0.0295084238270327,0.0293576831808297
11.6,0.0294256852577868,0.0297539316866852,0.0296290598632296,0.0294794794098924
11.7,0.0295431416998717,0.0298738535796161,0.0297505956648985,0.0296020960387299
11.8,0.0296614489803055,0.0299946333528743,0.0298730325229329,0.0297255282535764
11.9,0.0297806007667468,0.0301162717031114,0.0299963714815773,0.0298497712395303
12,0.0299005905961384,0.0302387690876125,0.0301206133348235,0.0299748201943883
12.1,0.0300214118774136,0.0303621257232107,0.0302457586227344,0.030100670341706
12.2,0.0301430578939673,0.0304863415851245,0.0303718076277023,0.0302273169432751
12.3,0.0302655218058834,0.0306114164057367,0.0304987603706616,0.0303547553111915
12.4,0.0303887966519246,0.0307373496733134,0.0306266166072533,0.0304829808196253
12.5,0.0305128753512976,0.0308641406306608,0.0307553758239662,0.0306119889164137
12.6,0.0306377507051552,0.0309917882737587,0.030885037234258,0.030741775134561
12.7,0.0307634153978711,0.0311202913503352,0.0310155997746683,0.0308723351037129
12.8,0.0308898619980503,0.0312496483584285,0.0311470621009415,0.0310036645616752
12.9,0.0310170829592935,0.0313798575449162,0.031279422584159,0.0311357593660388
13,0.0311450706206838,0.0315109169040306,0.0314126793069152,0.0312686155059173
13.1,0.0312738172070009,0.0316428241758739,0.0315468300595303,0.0314022291138898
13.2,0.0314033148286498,0.0317755768449169,0.0316818723363134,0.0315365964781065
13.3,0.0315335590838293,0.0319091762542568,0.0318178076732327,0.0316717177156017
13.4,0.0316645417339626,0.0320436193252212,0.0319546329124593,0.0318075894171851
13.5,0.0317962508978725,0.0321788986288323,0.0320923402736335,0.0319442047413534
13.6,0.0319286782180442,0.0323150106049346,0.0322309260224729,0.0320815607305405
13.7,0.0320618152172639,0.0324519514304712,0.0323703861112488,0.0322196546472568
13.8,0.0321956532964312,0.0325897170181482,0.0325107161756882,0.0323584839875383
13.9,0.0323301837319435,0.0327283030151369,0.0326519115320207,0.0324980464945678
14,0.0324653976726169,0.0328677048018386,0.0327939671742009,0.0326383401724121
14.1,0.0326012861361121,0.0330079174907095,0.0329368777712924,0.0327793632998239
14.2,0.0327378400048131,0.0331489359251564,0.0330806376650586,0.0329211144440323
14.3,0.0328750500211496,0.033290754678515,0.033225240867738,0.0330635924744445
14.4,0.0330129067822722,0.0334333680531023,0.0333706810600505,0.033206796576149
14.5,0.0331514007340714,0.0335767700793681,0.0335169515894137,0.0333507262630973
14.6,0.0332905221644571,0.0337209545151408,0.0336640454684011,0.0334953813908231
14.7,0.0334302611958571,0.0338659148449776,0.0338119553734566,0.0336407621685149
14.8,0.0335706077768485,0.0340116442796198,0.0339606736438438,0.0337868691702679
14.9,0.0337115516728761,0.0341581357555765,0.0341101922808841,0.0339337033452683
15,0.0338530824559516,0.034305381934819,0.0342605029474604,0.0340812660266618
15.1,0.0339951894932708,0.034453375204611,0.0344115969678,0.0342295589388023
15.2,0.0341378619346518,0.0346021076774693,0.0345634653275627,0.0343785842025631
15.3,0.034281088698689,0.0347515711912743,0.0347160986742131,0.0345283443383169
15.4,0.0344248584575289,0.0349017573095156,0.0348694873177114,0.0346788422661781
