"Freq [GHz]","dB(St(2,1)) [] - dielectric_overlap='1um' pillar_h='10um'","dB(St(2,1)) [] - dielectric_overlap='1um' pillar_h='50um'","dB(St(2,1)) [] - dielectric_overlap='200um' pillar_h='50um'","dB(St(2,1)) [] - dielectric_overlap='205um' pillar_h='50um'"
1,-0.0801436518622163,-0.0792046086298892,-0.0797513830661783,-0.0795763360498269
1.1,-0.0823314110186918,-0.0812182796565382,-0.0817382553769709,-0.0816571774155268
1.2,-0.0843041489811128,-0.082996888384988,-0.0834868648443085,-0.0835269099542986
1.3,-0.0860679610899995,-0.084563603521142,-0.0850222664026973,-0.0851942201732169
1.4,-0.0876376294885988,-0.0859447369372484,-0.0863720944970074,-0.0866755649421787
1.5,-0.0890318880142544,-0.0871662287374066,-0.087563161326975,-0.087990548902031
1.6,-0.0902706207221579,-0.0882519436243022,-0.0886198695445967,-0.0891592572307259
1.7,-0.0913732848372125,-0.0892229952188249,-0.0895636361384066,-0.090200813804049
1.8,-0.0923580879201935,-0.090097626044367,-0.0904128499854847,-0.0911326846048398
1.9,-0.0932416140933687,-0.0908913667662577,-0.0911830880414664,-0.0919704189906279
2,-0.0940387061942582,-0.091617317917437,-0.0918874370951405,-0.0927276367462139
2.1,-0.0947624853653815,-0.0922864686011406,-0.0925368395774238,-0.093416143737159
2.2,-0.0954244383144041,-0.0929080081240253,-0.0931404228777692,-0.0940461065433113
2.3,-0.0960345334616101,-0.093489610035601,-0.0937057944252316,-0.0946262460773716
2.4,-0.0966013461967982,-0.0940376809767775,-0.0942392970283007,-0.0951640283024137
2.5,-0.0971321845950591,-0.0945575735224464,-0.0947462251757849,-0.0956658410056307
2.6,-0.0976332130668036,-0.0950537654952475,-0.0952310058477116,-0.0961371519150837
2.7,-0.0981095744087921,-0.0955300095884393,-0.0956973484156148,-0.0965826470120669
2.8,-0.0985655116237806,-0.0959894574688131,-0.0961483683056418,-0.0970063497929566
2.9,-0.0990044902414099,-0.0964347623494363,-0.0965866887478155,-0.0974117231511478
3,-0.0994293202001404,-0.096868163612771,-0.0970145244081188,-0.0978017559005422
3.1,-0.0998422743654648,-0.0972915565818491,-0.0974337501364322,-0.098179035997569
3.2,-0.100245199336234,-0.0977065500593345,-0.0978459575311509,-0.0985458123903074
3.3,-0.100639613980691,-0.0981145138184257,-0.0982525015490773,-0.0989040472164201
3.4,-0.101026792244052,-0.0985166178491365,-0.0986545389852583,-0.099255459835953
3.5,-0.101407803363405,-0.0989138452949086,-0.0990530472789995,-0.0996015445336536
3.6,-0.101783623958149,-0.0993070692007754,-0.0994488875333157,-0.0999436577206727
3.7,-0.102155149811761,-0.0996970546607194,-0.0998428065173158,-0.100283012445435
3.8,-0.10252317395998,-0.100084444290398,-0.100235434789115,-0.100620669857735
3.9,-0.10288843071658,-0.100469797299386,-0.100627318962649,-0.100957582393625
4,-0.103251604139065,-0.100853602353631,-0.10101893440899,-0.101294607332631
4.1,-0.10361333302152,-0.10123628833968,-0.101410695920039,-0.101632516721309
4.2,-0.103974213922762,-0.101618233387806,-0.101802966681156,-0.101972003785809
4.3,-0.104334803214635,-0.101999772447601,-0.102196065836507,-0.102313686006151
4.4,-0.104695618738892,-0.10238120365759,-0.102590274880383,-0.102658105187809
4.5,-0.105057141387331,-0.10276279370834,-0.10298584306645,-0.103005725151744
4.6,-0.105419816746438,-0.103144782363892,-0.103382991993653,-0.103356928048583
4.7,-0.105784056846528,-0.103527386278204,-0.103781919500122,-0.103712010713414
4.8,-0.106150242003056,-0.103910802220232,-0.104182802974188,-0.104071182786223
4.9,-0.106518722715104,-0.104295209801973,-0.104585802173456,-0.104434568368207
5,-0.106889821580326,-0.104680773788567,-0.104991061627773,-0.104802212625411
5.1,-0.107263835188961,-0.105067646056107,-0.105398712689712,-0.10517409394782
5.2,-0.107641035966226,-0.105455967252496,-0.105808875285838,-0.105550141146268
5.3,-0.108021673940297,-0.105845868207588,-0.106221659413692,-0.10593025400467
5.4,-0.108405978420211,-0.106237471131495,-0.106637166422282,-0.106314324660452
5.5,-0.108794159574379,-0.106630890633729,-0.107055490108127,-0.106702257044159
5.6,-0.109186409905173,-0.10702623459087,-0.107476717653844,-0.107093982047193
5.7,-0.10958290561881,-0.107423604885823,-0.107900930432293,-0.107489467039945
5.8,-0.109983807892491,-0.107823098038454,-0.108328204695793,-0.107888719506051
5.9,-0.110389264042528,-0.108224805744106,-0.108758612167025,-0.108291785555267
6,-0.110799455761841,-0.108628838713248,-0.109192252551671,-0.108698783886445
6.1,-0.111214460768165,-0.109035258461976,-0.109629159126619,-0.109109783269446
6.2,-0.111634390607324,-0.109444144625373,-0.110069392705585,-0.109524907575909
6.3,-0.112059346783006,-0.109855573506581,-0.110513011216748,-0.109944290812421
6.4,-0.112489421510836,-0.110269618325322,-0.110960069975348,-0.110368070676828
6.5,-0.112924698408326,-0.11068634943245,-0.111410621917666,-0.110796383578731
6.6,-0.113365253126015,-0.111105834495564,-0.111864717801816,-0.111229361190023
