"s [um]","Freq [GHz]","lost_power_fraction []"
24.5,11.976,0.0303722939692638
24.5,12.074,0.0305176991691368
24.5,12.172,0.0306626371986575
24.5,12.27,0.0308071155816824
24.5,12.368,0.0309511417458853
24.5,12.466,0.0310947230178124
24.5,12.564,0.0312378666182884
24.5,12.662,0.0313805796581569
24.5,12.76,0.0315228691343467
24.5,12.858,0.0316647419262497
24.5,12.956,0.0318062047923992
24.5,13.054,0.0319472643674412
24.5,13.152,0.0320879271593832
24.5,13.25,0.0322281995471074
24.5,13.348,0.032368087778146
24.5,13.446,0.0325075979666956
24.5,13.544,0.0326467360918725
24.5,13.642,0.0327855079961912
24.5,13.74,0.0329239193842525
24.5,13.838,0.0330619758216438
24.5,13.936,0.0331996827340296
24.5,14.034,0.033337045406429
24.5,14.132,0.03347406898267
24.5,14.23,0.0336107584650107
24.5,14.328,0.033747118713923
24.5,14.426,0.0338831544480218
24.5,14.524,0.0340188702441443
24.5,14.622,0.0341542705375572
24.5,14.72,0.0342893596223006
24.5,14.818,0.0344241416516445
24.5,14.916,0.0345586206386668
24.5,15.014,0.0346928004569319
24.5,15.112,0.034826684841279
24.5,15.21,0.0349602773886938
24.5,15.308,0.0350935815592849
24.5,15.406,0.0352266006773306
24.5,15.504,0.0353593379324098
24.5,15.602,0.0354917963806077
24.5,15.7,0.0356239789457866
24.5,15.798,0.0357558884209217
24.5,15.896,0.0358875274694979
24.5,15.994,0.0360188986269594
24.5,16.092,0.0361500043022107
24.5,16.19,0.0362808467791664
24.5,16.288,0.0364114282183431
24.5,16.386,0.0365417506584897
24.5,16.484,0.036671816018256
24.5,16.582,0.0368016260978979
24.5,16.68,0.0369311825810039
24.5,16.778,0.0370604870362604
24.5,16.876,0.0371895409192301
24.5,16.974,0.0373183455741639
24.5,17.072,0.0374469022358224
24.5,17.17,0.0375752120313235
24.5,17.268,0.0377032759819945
24.5,17.366,0.0378310950052517
24.5,17.464,0.0379586699164749
24.5,17.562,0.0380860014309046
