"Freq [GHz]","dB(St(1,1)) [] - dielectric_overlap='1um' pillar_h='10um'","dB(St(1,1)) [] - dielectric_overlap='1um' pillar_h='50um'","dB(St(1,1)) [] - dielectric_overlap='200um' pillar_h='50um'","dB(St(1,1)) [] - dielectric_overlap='205um' pillar_h='50um'"
10.8,-25.9801162642494,-29.6940688388182,-27.3793233474944,-27.355706700878
10.9,-25.9097132965042,-29.6310268273041,-27.3145461576287,-27.2891715044139
11,-25.8400649799047,-29.5686719435464,-27.2504720999699,-27.223397638014
11.1,-25.7711599571759,-29.5069969011147,-27.1870926008403,-27.1583735973196
11.2,-25.7029871149326,-29.4459945267655,-27.1243992745514,-27.0940881257619
11.3,-25.6355355784387,-29.3856577581406,-27.0623839176822,-27.0305302115654
11.4,-25.5687947064468,-29.3259796414564,-27.0010385034331,-26.9676890844454
11.5,-25.5027540861191,-29.2669533291896,-26.9403551760633,-26.9055542120598
11.6,-25.437403528033,-29.2085720777716,-26.8803262454151,-26.8441152962665
11.7,-25.3727330612726,-29.1508292452989,-26.8209441815322,-26.7833622692282
11.8,-25.3087329286073,-29.0937182892674,-26.7622016093748,-26.7232852894023
11.9,-25.2453935817587,-29.0372327643384,-26.7040913036396,-26.6638747374473
12,-25.1827056767569,-28.9813663201432,-26.646606183685,-26.6051212120727
12.1,-25.1206600693857,-28.9261126991311,-26.5897393085708,-26.5470155258543
12.2,-25.0592478107178,-28.8714657344693,-26.5334838722123,-26.4895487010358
12.3,-24.9984601427397,-28.8174193479972,-26.4778331986563,-26.4327119653316
12.4,-24.9382884940648,-28.7639675482413,-26.4227807374812,-26.3764967477457
12.5,-24.8787244757369,-28.7111044284962,-26.3683200593262,-26.3208946744189
12.6,-24.8197598771206,-28.6588241649733,-26.314444851553,-26.2658975645127
12.7,-24.76138666188,-28.6071210150223,-26.2611489140439,-26.2114974261396
12.8,-24.7035969640437,-28.5559893154286,-26.2084261551402,-26.1576864523466
12.9,-24.6463830841554,-28.5054234807899,-26.1562705877241,-26.1044570171572
13,-24.5897374855094,-28.455418001972,-26.1046763254481,-26.0518016716765
13.1,-24.5336527904691,-28.4059674446494,-26.0536375791139,-25.9997131402642
13.2,-24.478121776868,-28.3570664479299,-26.0031486532059,-25.9481843167779
13.3,-24.4231400199841,-28.3087123654653,-25.953206583227,-25.8972109372593
13.4,-24.3687005003706,-28.2608999051949,-25.9038057728789,-25.8467861281042
13.5,-24.3147937667516,-28.2136212536096,-25.8549381236136,-25.7969005653251
13.6,-24.2614131883602,-28.1668713334452,-25.806598285354,-25.7475477889713
13.7,-24.2085522729743,-28.1206451352676,-25.7587809866708,-25.6987214908083
13.8,-24.1562046637858,-28.0749377166243,-25.7114810322937,-25.6504155110234
13.9,-24.1043641363415,-28.0297442012836,-25.6646933007915,-25.6026238350069
14,-24.0530245955551,-27.9850597785594,-25.6184127424201,-25.5553405902129
14.1,-24.002180072788,-27.9408797027198,-25.5726343771386,-25.5085600430977
14.2,-23.9518247229983,-27.8971992924781,-25.5273532927943,-25.4622765961347
14.3,-23.9019528219553,-27.8540139305648,-25.4825646434752,-25.4164847849062
14.4,-23.8525587635199,-27.8113190633778,-25.4382636480279,-25.3711792752703
14.5,-23.8036370569869,-27.7691102007076,-25.394445588741,-25.3263548606022
14.6,-23.7551823244896,-27.7273829155362,-25.3511058101898,-25.282006459109
14.7,-23.7071892984648,-27.6861328439058,-25.3082397182411,-25.2381291112162
14.8,-23.6596528191759,-27.6453556848526,-25.2658427792131,-25.1947179770243
14.9,-23.612567832294,-27.6050472004061,-25.2239105191874,-25.1517683338346
15,-23.5659293865344,-27.5652032156453,-25.1824385234687,-25.1092755737423
15.1,-23.5197326313473,-27.525819618812,-25.1414224361857,-25.0672352012936
15.2,-23.4739728146629,-27.4868923614739,-25.1008579600294,-25.0256428312072
15.3,-23.4286452806864,-27.4484174587364,-25.060740856121,-24.9844941861552
15.4,-23.383745467745,-27.4103909894955,-25.0210669440039,-24.9437850946033
15.5,-23.3392689061838,-27.3728090967299,-24.9818321017515,-24.9035114887053
15.6,-23.2952112163091,-27.3356679878271,-24.9430322661835,-24.8636694022509
15.7,-23.2515681063797,-27.2989639349373,-24.904663433184,-24.8242549686624
15.8,-23.2083393538478,-27.262697489338,-24.8667258071953,-24.785268539036
15.9,-23.1655167761259,-27.2268607719517,-24.829211280897,-24.74670225137
16,-23.1230963360058,-27.1914502534458,-24.792116031876,-24.7085525290017
16.1,-23.0810740765793,-27.156462470883,-24.7554362989097,-24.6708158872314
16.2,-23.0394461194536,-27.1218940281519,-24.7191683826556,-24.6334889315044
16.3,-22.9982086630074,-27.0877415963979,-24.6833086463862,-24.5965683556124
16.4,-22.9573579806912,-27.0540019144522,-24.6478535167601,-24.5600509399113
16.5,-22.9168904193691,-27.0206717892512,-24.6127994846188,-24.523933549548
16.6,-22.8768023977039,-26.9877480962456,-24.5781431058002,-24.4882131326884
16.7,-22.8370904045857,-26.9552277797927,-24.5438810019592,-24.4528867187406
16.8,-22.7977509976062,-26.9231078535297,-24.5100098613869,-24.4179514165652
16.9,-22.7587808015784,-26.8913854007225,-24.4765264398174,-24.3834044126644
17,-22.7201765071064,-26.8600575745889,-24.4434275612164,-24.3492429693438
17.1,-22.6819348692056,-26.8291215985912,-24.4107101185402,-24.3154644228362
17.2,-22.6440527059793,-26.7985747666943,-24.3783710744602,-24.2820661813821
17.3,-22.6065268973547,-26.7684144435905,-24.3464074620428,-24.2490457232592
17.4,-22.5693543838844,-26.7386380648831,-24.3148163853795,-24.2164005947524
17.5,-22.5325321656197,-26.7092431372312,-24.2835950201599,-24.1841284080619
17.6,-22.4960573010642,-26.6802272384504,-24.2527406141823,-24.1522268391421
17.7,-22.4599269062164,-26.6515880175698,-24.2222504877958,-24.1206936254698
17.8,-22.4241381537123,-26.6233231948424,-24.1921220342711,-24.0895265637426
17.9,-22.3886882720803,-26.5954305617086,-24.1623527200925,-24.0587235075059
18,-22.3535745451223,-26.5679079807116,-24.1329400851723,-24.0282823647175
18.1,-22.3187943114363,-26.5407533853628,-24.1038817429802,-23.9982010952545
18.2,-22.28434657356,-26.5139665645701,-24.0751770949815,-23.9684794531594
18.3,-22.2502287428669,-26.4875455664268,-24.0468238705686,-23.9391154671077
18.4,-22.2164367009657,-26.4614867441765,-24.0188181807345,-23.9101054844812
18.5,-22.1829680058611,-26.4357883148502,-23.9911579348338,-23.8814476483743
18.6,-22.1498202707247,-26.4104485650245,-23.9638411151247,-23.8531401409537
18.7,-22.116991164637,-26.3854658503927,-23.9368657763763,-23.8251811810202
18.8,-22.0844784135764,-26.3608385952891,-23.9102300453925,-23.7975690216817
18.9,-22.0522798016531,-26.3365652921684,-23.8839321204526,-23.7703019481755
19,-22.0203931725727,-26.31264450104,-23.857970270672,-23.7433782758771
19.1,-21.9888164312989,-26.2890748488619,-23.8323428352856,-23.716796348536
19.2,-21.9575475458628,-26.265855028892,-23.8070482228577,-23.6905545367747
19.3,-21.9265845492413,-26.2429838000013,-23.7820849104206,-23.6646512368862
19.4,-21.8959255411978,-26.2204599859509,-23.7574514425475,-23.6390848699594
19.5,-21.8655686899409,-26.1982824746339,-23.7331464303623,-23.6138538813581
19.6,-21.8355122334279,-26.1764502172847,-23.7091685504926,-23.5889567405672
19.7,-21.8057544801003,-26.1549622276582,-23.6855165439677,-23.5643919414167
19.8,-21.7762938088144,-26.1338175811816,-23.6621892150693,-23.5401580026776
19.9,-21.7471286677138,-26.1130154140812,-23.6391854301378,-23.51625346902
20,-21.7182575717915,-26.0925549224843,-23.616504116339,-23.4926769123065
20.1,-21.6896790989178,-26.0724353615043,-23.5941442603971,-23.4694269331889
20.2,-21.6613918841667,-26.0526560443038,-23.5721049072992,-23.4465021629631
20.3,-21.6333946123672,-26.033216341146,-23.5503851589732,-23.4239012656313
20.4,-21.6056860089301,-26.0141156784305,-23.5289841729482,-23.401622940112
20.5,-21.5782648291526,-25.9953535377203,-23.5079011609984,-23.3796659225364
20.6,-21.5511298463753,-25.9769294547601,-23.4871353877769,-23.358028988566
20.7,-21.5242826214937,-25.9588463252343,-23.4666892667386,-23.3367140710645
20.8,-21.4977191206942,-25.9411004776129,-23.44655905562,-23.3157168950526
20.9,-21.4714380968728,-25.9236916056747,-23.4267441708151,-23.2950363693133
21,-21.445438274224,-25.9066194533843,-23.4072440760616,-23.2746714504769
21.1,-21.419718340652,-25.8898838139064,-23.3880582810848,-23.2546211445612
21.2,-21.3942769430392,-25.8734845286242,-23.3691863402543,-23.2348845082281
21.3,-21.3691126856896,-25.8574214861655,-23.3506278512577,-23.2154606497385
21.4,-21.3442241320028,-25.8416946214392,-23.3323824537933,-23.1963487295927
21.5,-21.3196098091705,-25.826303914681,-23.314449828285,-23.1775479608576
21.6,-21.2952682154481,-25.8112493905139,-23.2968296946215,-23.1590576091863
21.7,-21.2711978293774,-25.7965311170204,-23.279521810922,-23.140876992548
21.8,-21.2473971202373,-25.7821492048338,-23.2625259723317,-23.1230054806879
21.9,-21.223864558974,-25.7681038062428,-23.2458420098467,-23.1054424943471
22,-21.2005986289227,-25.754395114318,-23.2294697891719,-23.0881875042711
22.1,-21.1775978357386,-25.7410233620548,-23.2134092096119,-23.0712400300401
22.2,-21.1548607161022,-25.7279888215395,-23.197660202997,-23.0545996387569
22.3,-21.1323858449226,-25.7152918031344,-23.1822227326448,-23.0382659436227
22.4,-21.110171840911,-25.7029326546878,-23.1670967923578,-23.0222386024366
22.5,-21.0882173705291,-25.6909117607642,-23.1522824054585,-23.0065173160455
22.6,-21.0665211504161,-25.6792295419011,-23.1377796238618,-22.9911018267754
22.7,-21.0450819484676,-25.6678864538874,-23.1235885271851,-22.9759919168652
22.8,-21.0238985837787,-25.6568829870687,-23.109709221896,-22.9611874069274
22.9,-21.0029699256803,-25.6462196656767,-23.096141840498,-22.9466881544512
23,-20.9822948920888,-25.6358970471838,-23.0828865407539,-22.9324940523632
23.1,-20.9618736806803,-25.6259173977286,-23.0699450366553,-22.9186065229289
23.2,-20.9417052861333,-25.6162813488582,-23.0573175376078,-22.9050255257932
23.3,-20.9217875212877,-25.6069878819809,-23.0450027427875,-22.8917495577
23.4,-20.9021194757357,-25.5980376824559,-23.0330009045864,-22.878778641262
23.5,-20.8827002751624,-25.5894314660271,-23.0213122973026,-22.8661128284699
23.6,-20.8635290788686,-25.5811699783338,-23.0099372165822,-22.8537521997511
23.7,-20.8446050774475,-25.5732539944481,-22.9988759788949,-22.8416968631152
23.8,-20.8259274906376,-25.565684318436,-22.9881289210414,-22.8299469533819
23.9,-20.8074955653662,-25.5584617829457,-22.9776963996946,-22.81850263149
24,-20.7893085739818,-25.5515872488191,-22.9675787909707,-22.8073640838801
24.1,-20.7713658126734,-25.5450616047284,-22.9577764900308,-22.7965315219495
