"Freq [GHz]","dB(St(2,1)) []"
1,-0.0303696738251033
1.1,-0.0313987700386613
1.2,-0.0325365141011151
1.3,-0.0337731546705453
1.4,-0.0350982122246802
1.5,-0.0365010910871669
1.6,-0.0379714322621321
1.7,-0.0394993116215668
1.8,-0.0410753480685805
1.9,-0.0426907596981056
2,-0.0443373896385025
2.1,-0.0460077136987753
2.2,-0.0476948365423457
2.3,-0.0493924801403375
2.4,-0.0510949666729179
2.5,-0.052797197226026
2.6,-0.0544946272180932
2.7,-0.056183239287113
2.8,-0.0578595142648249
2.9,-0.0595204008036507
3,-0.0611632841755082
3.1,-0.0627859547162393
3.2,-0.0643865763410719
3.3,-0.0659636555043792
3.4,-0.0675160109226517
3.5,-0.0690426155035377
3.6,-0.0705428200012932
3.7,-0.0720163411618446
3.8,-0.0734629723889895
3.9,-0.0748826860607829
4,-0.0762756117179472
4.1,-0.0776420158837747
4.2,-0.078982283495936
4.3,-0.0802969009107025
4.4,-0.0815864404240025
4.5,-0.0828515462418314
4.6,-0.0840929218240738
4.7,-0.0853113185199489
4.8,-0.0865075254102984
4.9,-0.0876823602706554
5,-0.0888366615695687
5.1,-0.0899712814183246
5.2,-0.0910870793910374
5.3,-0.0921849171375267
5.4,-0.0932656537153157
5.5,-0.0943301415715301
5.6,-0.0953792231098863
5.7,-0.0964137277825109
5.8,-0.0974344696510611
5.9,-0.0984422453657486
6,-0.0994377203856193
6.1,-0.100421778203342
6.2,-0.101395153981853
6.3,-0.102358560670212
6.4,-0.103312688456574
6.5,-0.104258204413325
6.6,-0.105195752308817
6.7,-0.106125952562757
6.8,-0.107049402324869
6.9,-0.107966675658485
7,-0.108878323813009
7.1,-0.109784875570781
7.2,-0.110686837655744
7.3,-0.111584695192686
7.4,-0.112478912207277
7.5,-0.113369932158236
7.6,-0.114258178494168
7.7,-0.115144055228437
7.8,-0.116027947526487
7.9,-0.116910222300634
8,-0.117791228808126
8.1,-0.118671299248856
8.2,-0.119550749359659
8.3,-0.120429879002573
8.4,-0.121308973896041
8.5,-0.122188307570807
8.6,-0.123068135460359
8.7,-0.123948699252693
8.8,-0.124830227566928
8.9,-0.125712936470472
9,-0.126597029981206
9.1,-0.127482700554398
