"Freq [GHz]","lost_power_fraction []"
1,0.00694472946149294
1.049,0.00705438976373318
1.098,0.00717014312019149
1.147,0.00729175356774736
1.196,0.00741896240683304
1.245,0.00755149568672431
1.294,0.0076890700484652
1.343,0.00783139724010695
1.392,0.00797818757770918
1.441,0.0081291525802939
1.49,0.0082840069639214
1.539,0.00844247014218502
1.588,0.00860426734848363
1.637,0.0087691304694355
1.686,0.00893679865794483
1.735,0.00910701877812226
1.784,0.00927954572154566
1.833,0.00945414262459543
1.882,0.00963058100919822
1.931,0.00980864086366484
1.98,0.00998811067611494
2.029,0.0101687874298326
2.078,0.0103504765675622
2.127,0.0105329919300434
2.176,0.0107161556728165
2.225,0.0108997981644584
2.274,0.0110837578686941
2.323,0.0112678812124075
2.372,0.0114520224412231
2.421,0.011636043464095
2.47,0.0118198136881696
2.519,0.0120032098450843
2.568,0.0121861158097512
2.617,0.0123684224126411
2.666,0.0125500272465193
2.715,0.012730834468528
2.764,0.0129107545985006
2.813,0.0130897043143309
2.862,0.0132676062452057
2.911,0.0134443887634486
2.96,0.0136199857756937
3.009,0.0137943365140937
3.058,0.0139673853281668
3.107,0.0141390814779044
3.156,0.014309378928679
3.205,0.014478236148466
3.254,0.0146456159078366
3.303,0.0148114850831534
3.352,0.0149758144633357
3.401,0.0151385785605326
3.45,0.0152997554250046
3.499,0.0154593264644588
3.548,0.01561727626807
3.597,0.015773592435348
3.646,0.0159282654100269
3.695,0.0160812883190751
3.744,0.0162326568169121
3.793,0.0163823689349156
3.842,0.0165304249362149
3.891,0.0166768271758219
3.94,0.0168215799660645
3.989,0.0169646894473043
4.038,0.0171061634638916
4.087,0.0172460114452897
4.136,0.0173842442923009
4.185,0.0175208742683067
4.234,0.0176559148954213
4.283,0.0177893808554421
4.332,0.0179212878955164
4.381,0.0180516527383474
4.43,0.0181804929968707
4.479,0.0183078270932426
4.528,0.018433674181989
4.577,0.0185580540772279
4.626,0.0186809871837771
4.675,0.0188024944320421
4.724,0.01892259721653
4.773,0.0190413173378655
4.822,0.0191586769481441
4.871,0.0192746984995285
4.92,0.0193894046959181
4.969,0.0195028184475781
5.018,0.0196149628285999
5.067,0.0197258610370529
5.116,0.0198355363577303
5.165,0.019944012127342
5.214,0.0200513117020531
5.263,0.0201574584272576
5.312,0.0202624756094624
5.361,0.0203663864901971
5.41,0.0204692142218313
5.459,0.0205709818452012
5.508,0.0206717122689667
5.557,0.0207714282505871
5.606,0.0208701523788394
5.655,0.0209679070577916
5.704,0.0210647144921606
5.753,0.0211605966739519
5.802,0.0212555753703345
5.851,0.02134967211267
5.9,0.0214429081866202
5.949,0.021535304623282
5.998,0.0216268821912842
6.047,0.0217176613897726
6.096,0.0218076624422656
6.145,0.0218969052912764
6.194,0.0219854095936879
6.243,0.0220731947168379
6.292,0.0221602797352274
6.341,0.0222466834278483
6.39,0.0223324242760822
6.439,0.0224175204621152
6.488,0.0225019898678464
6.537,0.0225858500742603
6.586,0.022669118361205
6.635,0.0227518117075781
6.684,0.0228339467918718
6.733,0.0229155399930444
6.782,0.0229966073917121
6.831,0.0230771647716181
6.88,0.0231572276213683
6.929,0.0232368111364036
6.978,0.0233159302211908
7.027,0.023394599491618
7.076,0.0234728332775637
7.125,0.023550645625643
7.174,0.023628050302092
7.223,0.0237050607957913
7.272,0.0237816903214058
7.321,0.0238579518226417
7.37,0.023933857975584
7.419,0.0240094211921255
7.468,0.0240846536234691
7.517,0.0241595671636907
7.566,0.0242341734533492
7.615,0.0243084838831529
7.664,0.0243825095976515
7.713,0.0244562614989621
7.762,0.0245297502505191
7.811,0.0246029862808304
7.86,0.024675979787251
7.909,0.0247487407397607
7.958,0.0248212788847284
8.007,0.0248936037486893
8.056,0.0249657246420908
8.105,0.0250376506630398
8.154,0.0251093907010221
8.203,0.0251809534406058
8.252,0.0252523473651083
8.301,0.0253235807602543
8.35,0.0253946617177848
8.399,0.0254655981390437
8.448,0.0255363977385242
8.497,0.0256070680473842
8.546,0.025677616416916
8.595,0.0257480500219807
8.644,0.0258183758643992
8.693,0.0258886007762966
8.742,0.0259587314234156
8.791,0.0260287743083648
8.84,0.0260987357738439
8.889,0.0261686220058017
8.938,0.0262384390365624
8.987,0.026308192747901
9.036,0.026377888874065
9.085,0.026447533004753
9.134,0.0265171305880497
9.183,0.0265866869333016
9.232,0.0266562072139567
9.281,0.0267256964703486
9.33,0.0267951596124298
9.379,0.0268646014224668
9.428,0.0269340265576831
9.477,0.0270034395528466
9.526,0.0270728448228289
9.575,0.0271422466650956
9.624,0.0272116492621657
9.673,0.0272810566840218
9.722,0.0273504728904674
9.771,0.0274199017334512
9.82,0.0274893469593371
9.869,0.0275588122111334
9.918,0.0276283010306791
9.967,0.0276978168607859
10.016,0.0277673630473405
10.065,0.0278369428413612
10.114,0.0279065594010145
10.163,0.0279762157935922
10.212,0.0280459149974481
10.261,0.0281156599038934
10.31,0.0281854533190566
10.359,0.0282552979657003
10.408,0.0283251964850068
10.457,0.0283951514383204
10.506,0.0284651653088539
10.555,0.0285352405033703
10.604,0.0286053793538062
10.653,0.0286755841188925
10.702,0.0287458569857066
10.751,0.0288162000712191
10.8,0.0288866154237952
10.849,0.0289571050246621
10.898,0.0290276707893564
10.947,0.0290983145691233
10.996,0.0291690381523019
11.045,0.0292398432656745
11.094,0.0293107315757822
11.143,0.0293817046902208
11.192,0.0294527641589025
11.241,0.0295239114752885
11.29,0.0295951480776059
11.339,0.0296664753500238
11.388,0.0297378946238125
11.437,0.0298094071784781
11.486,0.0298810142428669
11.535,0.0299527169962476
11.584,0.0300245165693747
11.633,0.0300964140455209
11.682,0.0301684104614961
11.731,0.0302405068086274
11.78,0.0303127040337442
11.829,0.0303850030401155
11.878,0.0304574046883797
11.927,0.0305299097974558
11.976,0.0306025191454256
12.025,0.0306752334704034
12.074,0.0307480534713883
12.123,0.0308209798090894
12.172,0.0308940131067403
12.221,0.0309671539508926
12.27,0.0310404028921929
12.319,0.0311137604461444
12.368,0.0311872270938451
12.417,0.0312608032827201
12.466,0.0313344894272281
12.515,0.0314082859095582
12.564,0.0314821930803157
12.613,0.0315562112591756
12.662,0.0316303407355436
12.711,0.0317045817691849
12.76,0.0317789345908563
12.809,0.0318533994029064
12.858,0.031927976379875
12.907,0.0320026656690748
12.956,0.0320774673911646
13.005,0.0321523816407043
13.054,0.0322274084866998
13.103,0.0323025479731404
13.152,0.0323778001195185
13.201,0.0324531649213409
13.25,0.0325286423506277
13.299,0.0326042323564066
13.348,0.0326799348651904
13.397,0.0327557497814346
13.446,0.032831676988012
13.495,0.0329077163466527
13.544,0.0329838676983835
13.593,0.0330601308639611
13.642,0.0331365056442855
13.691,0.0332129918208202
13.74,0.0332895891559918
13.789,0.0333662973935823
13.838,0.0334431162591151
13.887,0.0335200454602387
13.936,0.033597084687089
13.985,0.033674233612657
14.034,0.033751491893141
14.083,0.0338288591682943
14.132,0.033906335061765
14.181,0.0339839191814298
14.23,0.0340616111197175
14.279,0.0341394104539335
14.328,0.0342173167465645
14.377,0.034295329545593
14.426,0.0343734483847933
14.475,0.0344516727840218
14.524,0.0345300022495124
14.573,0.0346084362741526
14.622,0.0346869743377646
14.671,0.0347656159073689
14.72,0.0348443604374542
14.769,0.0349232073702394
14.818,0.0350021561359244
14.867,0.0350812061529373
14.916,0.0351603568281871
14.965,0.0352396075572958
15.014,0.0353189577248361
15.063,0.0353984067045594
15.112,0.03547795385963
15.161,0.0355575985428338
15.21,0.0356373400968057
15.259,0.0357171778542362
15.308,0.0357971111380805
15.357,0.0358771392617719
15.406,0.0359572615294063
15.455,0.0360374772359554
15.504,0.0361177856674467
15.553,0.0361981861011624
15.602,0.0362786778058194
15.651,0.0363592600417563
15.7,0.0364399320611059
15.749,0.0365206931079757
15.798,0.0366015424186202
15.847,0.0366824792216063
15.896,0.0367635027379819
15.945,0.036844612181441
15.994,0.0369258067584763
16.043,0.0370070856685409
16.092,0.037088448104208
16.141,0.0371698932513098
16.19,0.0372514202890952
16.239,0.0373330283903731
16.288,0.0374147167216535
16.337,0.037496484443296
16.386,0.0375783307096365
16.435,0.0376602546691314
16.484,0.0377422554644911
16.533,0.0378243322328061
16.582,0.0379064841056792
16.631,0.0379887102093504
16.68,0.0380710096648292
16.729,0.0381533815880019
16.778,0.0382358250897656
16.827,0.0383183392761416
16.876,0.03840092324839
16.925,0.0384835761031262
16.974,0.0385662969324315
17.023,0.0386490848239711
17.072,0.0387319388610885
17.121,0.0388148581229292
17.17,0.0388978416845314
17.219,0.0389808886169428
17.268,0.0390639979873105
17.317,0.0391471688589899
17.366,0.0392304002916402
17.415,0.039313691341323
17.464,0.0393970410605955
17.513,0.0394804484986079
17.562,0.0395639127011969
17.611,0.0396474327109683
17.66,0.0397310075674011
