"Freq [GHz]","dB(St(1,1)) []"
1,-29.6877276851268
1.055,-29.6070413455443
1.11,-29.5290750822231
1.165,-29.4536451294694
1.22,-29.3805994702247
1.275,-29.3098116272997
1.33,-29.2411753670403
1.385,-29.1746003626478
1.44,-29.1100087599095
1.495,-29.0473325341257
1.55,-28.9865115069479
1.605,-28.9274918924802
1.66,-28.8702252538927
1.715,-28.8146677687394
1.77,-28.7607797193287
1.825,-28.7085251417185
1.88,-28.6578715821312
1.935,-28.6087899224228
1.99,-28.5612542466909
2.045,-28.5152417293844
2.1,-28.4707325316641
2.155,-28.427709697582
2.21,-28.3861590451967
2.265,-28.3460690502839
2.32,-28.3074307220676
2.375,-28.2702374715658
2.43,-28.2344849738783
2.485,-28.200171026146
2.54,-28.1672954030874
2.595,-28.1358597120299
2.65,-28.10586724926
2.705,-28.0773228593532
2.76,-28.0502327989443
2.815,-28.0246046061804
2.87,-28.0004469768765
2.925,-27.977769648181
2.98,-27.9565832903555
3.035,-27.9368994070925
3.09,-27.9187302446296
3.145,-27.9020887097746
3.2,-27.8869882968368
3.255,-27.8734430233511
3.31,-27.861467374398
3.365,-27.8510762552548
3.42,-27.8422849520552
3.475,-27.8351091000967
3.53,-27.8295646594038
3.585,-27.8256678971358
3.64,-27.8234353764188
3.695,-27.8228839511758
3.75,-27.824030766532
3.805,-27.826893264382
3.86,-27.8314891937153
3.915,-27.8378366253113
3.97,-27.8459539704333
4.025,-27.8558600031693
4.08,-27.8675738860876
4.135,-27.8811151988959
4.19,-27.8965039698118
4.245,-27.9137607093779
4.3,-27.9329064464679
4.355,-27.953962766255
4.41,-27.97695184993
4.465,-28.0018965159718
4.52,-28.0288202627911
4.575,-28.0577473125785
4.63,-28.0887026562009
4.685,-28.1217120989999
4.74,-28.1568023073495
4.795,-28.1940008558363
4.85,-28.233336274925
4.905,-28.2748380989674
4.96,-28.318536914408
5.015,-28.3644644080237
5.07,-28.4126534150215
5.125,-28.463137966793
5.18,-28.5159533380929
5.235,-28.5711360933766
5.29,-28.6287241319779
5.345,-28.6887567317578
5.4,-28.7512745907854
