Freq.	S12(V1)
3.59959959959960e+09	(-7.10793700765236e-01dB,-9.71908931920298e+01°)
3.64864864864865e+09	(-7.12856938963226e-01dB,-9.84931798169056e+01°)
3.69769769769770e+09	(-7.14833786561115e-01dB,-9.97950824039084e+01°)
3.74674674674675e+09	(-7.16722375559507e-01dB,-1.01096621842444e+02°)
3.79579579579580e+09	(-7.18520947706948e-01dB,-1.02397819428717e+02°)
3.84484484484484e+09	(-7.20227856473473e-01dB,-1.03698696842021e+02°)
3.89389389389389e+09	(-7.21841568918251e-01dB,-1.04999276120649e+02°)
3.94294294294294e+09	(-7.23360667450633e-01dB,-1.06299579637471e+02°)
3.99199199199199e+09	(-7.24783851483569e-01dB,-1.07599630075163e+02°)
4.04104104104104e+09	(-7.26109938978542e-01dB,-1.08899450401126e+02°)
4.09009009009009e+09	(-7.27337867881142e-01dB,-1.10199063842094e+02°)
4.13913913913914e+09	(-7.28466697446192e-01dB,-1.11498493858467e+02°)
4.18818818818819e+09	(-7.29495609451707e-01dB,-1.12797764118344e+02°)
4.23723723723724e+09	(-7.30423909300306e-01dB,-1.14096898471318e+02°)
4.28628628628629e+09	(-7.31251027007517e-01dB,-1.15395920922012e+02°)
4.33533533533533e+09	(-7.31976518075359e-01dB,-1.16694855603383e+02°)
4.38438438438438e+09	(-7.32600064250646e-01dB,-1.17993726749808e+02°)
4.43343343343343e+09	(-7.33121474166343e-01dB,-1.19292558669974e+02°)
4.48248248248248e+09	(-7.33540683865107e-01dB,-1.20591375719566e+02°)
4.53153153153153e+09	(-7.33857757203713e-01dB,-1.21890202273789e+02°)
4.58058058058058e+09	(-7.34072886136887e-01dB,-1.23189062699734e+02°)
4.62962962962963e+09	(-7.34186390879508e-01dB,-1.24487981328589e+02°)
4.67867867867868e+09	(-7.34198719945484e-01dB,-1.25786982427736e+02°)
4.72772772772773e+09	(-7.34110450062302e-01dB,-1.27086090172730e+02°)
4.77677677677678e+09	(-7.33922285959274e-01dB,-1.28385328619182e+02°)
4.82582582582583e+09	(-7.33635060028603e-01dB,-1.29684721674578e+02°)
