Meta Data
Label,Value,


Analytical Results
Table: General
Label,Value,Units
M Cursor Pos,117133.936,nm
M Cursor Width,13520.219,nm
R Cursor Pos,74261.312,nm
R Cursor Width,-11350.921,nm
Type,Two-Points Cursors,


Data Leveling Position
R Cursor Position,74261.3143759998 nm
R Cursor Width,-11350.9207551545 nm
M Cursor Position,117133.937135132 nm
M Cursor Width,13520.2191906305 nm


Data
Lateral(nm),Height Data(µm),,
0,-0.882524910432222,,
14.8783535935355,-0.883461608743029,,
29.7567071870709,-0.886163280751834,,
44.6350607806064,-0.887927878497763,,
59.5134143741418,-0.889560087853982,,
74.3917679676773,-0.89127375288466,,
89.2701215612128,-0.892617159418834,,
104.148475154748,-0.894237562966858,,
119.026828748284,-0.894886306373815,,
133.905182341819,-0.894794418713028,,
148.783535935355,-0.894304383503396,,
163.66188952889,-0.894037912740146,,
178.540243122426,-0.893565251593124,,
193.418596715961,-0.893565750255792,,
208.296950309496,-0.893836032345418,,
223.175303903032,-0.894056231836422,,
238.053657496567,-0.894032712259105,,
252.932011090103,-0.894135489418136,,
267.810364683638,-0.894426272582677,,
282.688718277174,-0.894524268014121,,
297.567071870709,-0.894940660798998,,
312.445425464245,-0.895668546176154,,
327.32377905778,-0.896123972179274,,
342.202132651316,-0.895793801257878,,
357.080486244851,-0.895506059232633,,
371.958839838386,-0.895766359954238,,
386.837193431922,-0.895865601090838,,
401.715547025457,-0.895364993540854,,
416.593900618993,-0.894809366447781,,
431.472254212528,-0.893902615877886,,
446.350607806064,-0.892230799989607,,
461.228961399599,-0.89069277424937,,
476.107314993135,-0.889378384342544,,
490.98566858667,-0.888386245043665,,
505.864022180206,-0.887680420794006,,
520.742375773741,-0.887030999533641,,
535.620729367276,-0.886796883209825,,
550.499082960812,-0.886107637979259,,
565.377436554347,-0.885586968683996,,
580.255790147883,-0.885890389617934,,
595.134143741418,-0.886773470566229,,
610.012497334954,-0.887252303218182,,
624.890850928489,-0.887730958701183,,
639.769204522025,-0.887990942563576,,
654.64755811556,-0.888137137859435,,
669.525911709096,-0.888951097914532,,
684.404265302631,-0.890401670113822,,
699.282618896167,-0.890470592350669,,
714.160972489702,-0.890540231109974,,
729.039326083238,-0.890937307967897,,
743.917679676773,-0.890202531338798,,
758.796033270308,-0.889751176198447,,
773.674386863844,-0.889288468054708,,
788.552740457379,-0.88886490875887,,
803.431094050915,-0.888943276207557,,
818.30944764445,-0.889413825396683,,
833.187801237986,-0.889393510122899,,
848.066154831521,-0.889036564068143,,
862.944508425057,-0.888964288639755,,
877.822862018592,-0.889471492243607,,
892.701215612128,-0.889434737738356,,
907.579569205663,-0.890056066752665,,
922.457922799199,-0.890779793448208,,
937.336276392734,-0.890594158401924,,
952.214629986269,-0.890444513508975,,
967.092983579805,-0.891035309506249,,
981.97133717334,-0.890733121319051,,
996.849690766876,-0.889804963857874,,
1011.72804436041,-0.889030387437388,,
1026.60639795395,-0.888702195363377,,
1041.48475154748,-0.88819770363232,,
1056.36310514102,-0.887367464377415,,
1071.24145873455,-0.886828730752385,,
1086.11981232809,-0.88662847451846,,
1100.99816592162,-0.886721689698831,,
1115.87651951516,-0.887026161419084,,
