"Freq [GHz]","dB(St(1,1)) [] - g='14.5um'","dB(St(1,1)) [] - g='16.5um'","dB(St(1,1)) [] - g='17.5um'","dB(St(1,1)) [] - g='18.5um'","dB(St(1,1)) [] - g='19.5um'","dB(St(1,1)) [] - g='20.5um'","dB(St(1,1)) [] - g='21.5um'","dB(St(1,1)) [] - g='22.5um'","dB(St(1,1)) [] - g='23.5um'","dB(St(1,1)) [] - g='25.5um'"
8.6,-24.1135640832288,-24.4487183448368,-23.0101304719174,-25.8101209002183,-24.2873681533976,-21.2941233796696,-23.7869349903175,-25.4284758685166,-22.3675879462197,-24.5674747994989
8.7,-24.0547930867447,-24.3907482737677,-22.9481750096733,-25.7544947219417,-24.2299553542503,-21.2291401570959,-23.7247205449084,-25.3699580700515,-22.3079592454469,-24.5082923352404
8.8,-23.9975626701182,-24.3344190624349,-22.8876377509372,-25.7003687955941,-24.1740860892147,-21.1655934996491,-23.6639575338998,-25.3129401673117,-22.2498416280547,-24.4505916765982
8.9,-23.9418434032453,-24.2796869355367,-22.8284950219961,-25.6477195176867,-24.119736374583,-21.1034585725298,-23.6046217155796,-25.2573980760274,-22.1932116850076,-24.39434997185
9,-23.8876073131782,-24.2265113045929,-22.7707241991959,-25.5965241138336,-24.0668831036629,-21.0427114078329,-23.5466897439194,-25.2033085503354,-22.1380468657204,-24.3395452356827
9.1,-23.8348277652734,-24.1748546577529,-22.7143036600733,-25.5467606063445,-24.0155040115295,-20.9833288671757,-23.490139127982,-25.1506491490662,-22.0843254409727,-24.2861563063573
9.2,-23.7834793615425,-24.124682367936,-22.6592127364711,-25.4984077836204,-23.9655776418122,-20.9252886064708,-23.4349481936242,-25.0993982039498,-22.0320264679919,-24.2341628054445
9.3,-23.7335378529519,-24.0759624611985,-22.6054316695536,-25.4514451712265,-23.9170833153797,-20.8685690426957,-23.3810960473505,-25.0495347896085,-21.9811297575622,-24.1835450999808
9.4,-23.6849800631201,-24.0286653731132,-22.5529415666457,-25.405853004532,-23.8700011007956,-20.8131493225271,-23.3285625421808,-25.0010386952188,-21.9316158430215,-24.1342842669032
9.5,-23.6377838214018,-23.9827637104648,-22.5017243598281,-25.361612202809,-23.8243117864285,-20.7590092927126,-23.2773282454072,-24.9538903977305,-21.8834659510236,-24.0863620596319
9.6,-23.5919279037616,-23.9382320281587,-22.4517627662291,-25.3187043446972,-23.7799968541079,-20.7061294720674,-23.227374408123,-24.9080710365419,-21.8366619739488,-24.0397608766769
9.7,-23.5473919801587,-23.8950466262607,-22.4030402499554,-25.2771116449443,-23.7370384542273,-20.6544910249869,-23.1786829364137,-24.8635623895373,-21.7911864438569,-23.9944637321504
9.8,-23.5041565674153,-23.8531853688743,-22.3555409856157,-25.236816932339,-23.6954193822015,-20.6040757363788,-23.1312363641111,-24.8203468503994,-21.7470225078834,-23.9504542280782
9.9,-23.4622029867354,-23.8126275246114,-22.3092498233875,-25.197803628764,-23.6551230561937,-20.5548659879231,-23.0850178270136,-24.7784074071159,-21.7041539049878,-23.9077165284051
10,-23.4215133251952,-23.7733536273141,-22.2641522555888,-25.1600557292956,-23.6161334960327,-20.5068447355747,-23.0400110384864,-24.7377276216073,-21.6625649439682,-23.8662353345986
10.1,-23.3820704006482,-23.7353453551352,-22.2202343847116,-25.1235577832872,-23.5784353032489,-20.4599954882314,-22.9962002663592,-24.6982916104059,-21.6222404826649,-23.8259958627581
10.2,-23.3438577295858,-23.6985854258937,-22.1774828928834,-25.0882948763753,-23.5420136421593,-20.4143022874935,-22.953570311045,-24.6600840263217,-21.5831659082779,-23.7869838221455
