"Freq [GHz]","re(Zo(1)) [] - s='18um'","re(Zo(1)) [] - s='19um'","re(Zo(1)) [] - s='20um'","re(Zo(1)) [] - s='22um'","re(Zo(1)) [] - s='23.5um'","re(Zo(1)) [] - s='24.5um'","re(Zo(1)) [] - s='25.5um'","re(Zo(1)) [] - s='26.5um'"
5.6,51.5202268500793,50.6115162998871,50.1293407092168,48.7895064392877,48.015953740647,47.2022232891432,46.9410333934126,46.3528712119945
5.7,51.5090560553699,50.6002665167842,50.1175038756646,48.7782526435105,48.0043313973438,47.1910911523175,46.9316823592844,46.3425008965803
5.8,51.4981932030269,50.5894320276897,50.1059968516677,48.7673207854375,47.9930437530916,47.1802797173397,46.9226581842813,46.3324139876254
5.9,51.4876258016098,50.5789887503835,50.0948067692317,48.75669796311,47.9820775197075,47.1697759355803,46.9139416981989,46.3225994558772
6,51.4773474154857,50.5689210965031,50.0839271667587,48.7463775237487,47.9714258778148,47.1595729810918,46.9055204532597,46.3130517822806
6.1,51.4673411639996,50.5592006244156,50.0733402685946,48.7363418139172,47.9610705339203,47.1496530942919,46.8973719433817,46.3037557256302
6.2,51.4575965387974,50.5498079552555,50.0630350603232,48.7265797904427,47.9510000465392,47.1400051062323,46.8894808267081,46.2947018567743
6.3,51.4481035714406,50.5407250107318,50.053001043296,48.7170809315724,47.9412034975107,47.1306183774048,46.8818328161769,46.2858811906391
6.4,51.4388527904868,50.5319349130921,50.0432281985944,48.7078352021181,47.9316704592309,47.1214827631456,46.8744145967791,46.2772851547314
6.5,51.4298351834845,50.5234218936247,50.0337069549122,48.6988330221828,47.9223909650977,47.1125885824839,46.8672137500174,46.2689055611078
6.6,51.42104216321,50.5151712089077,50.0244281598113,48.6900652389799,47.9133554827276,47.1039265899672,46.8602186848776,46.2607345813264
6.7,51.4124655375774,50.5071690640903,50.0153830538856,48.6815231013297,47.9045548895741,47.0954879500722,46.8534185746997,46.2527647239687
6.8,51.404097482731,50.4994025425631,50.0065632474423,48.6731982364823,47.8959804506343,47.0872642138684,46.846803299395,46.2449888143853
