"Freq [GHz]","lost_power_fraction [] - g='14.5um'","lost_power_fraction [] - g='16.5um'","lost_power_fraction [] - g='17.5um'","lost_power_fraction [] - g='18.5um'","lost_power_fraction [] - g='19.5um'","lost_power_fraction [] - g='20.5um'","lost_power_fraction [] - g='21.5um'","lost_power_fraction [] - g='22.5um'","lost_power_fraction [] - g='23.5um'","lost_power_fraction [] - g='25.5um'"
1,0.0337474016633207,0.0315488579319171,0.0307392214960058,0.0297728568976046,0.0290585311414125,0.029127836672125,0.0278160817291614,0.0272450822813768,0.0273511049446273,0.0260411677236033
1.1,0.0346540858822117,0.0322787587129096,0.0314636975788793,0.0304715791984386,0.0296431827606888,0.0296657138959176,0.028403433750775,0.0278247633902158,0.0279238712497565,0.0265872058233286
1.2,0.0354283096000617,0.0328948144242103,0.0320817704276961,0.0310671848277097,0.0301333446815769,0.0301203002893927,0.0288996435550848,0.028314109793934,0.0284088783814778,0.0270498997530487
1.3,0.0360924457009653,0.033418569054265,0.0326113054611749,0.0315771769694779,0.0305487546606779,0.0305101547163012,0.0293220480163133,0.0287304463252196,0.028822370772528,0.0274447982153737
1.4,0.0366656096150379,0.0338676209325905,0.0330675979056369,0.0320165102706031,0.0309049104925751,0.0308491732859399,0.029684798274453,0.0290878725074277,0.0291777568554969,0.0277847027319691
1.5,0.0371637517037308,0.0342561554642605,0.0334634322145502,0.0323976657051269,0.0312139182456764,0.0311478180963213,0.0299992950619209,0.029397721279577,0.0294859343382454,0.0280799965217395
1.6,0.0376000119272201,0.0345955414825473,0.0338093564487088,0.0327309284171278,0.0314852337931613,0.0314140353450034,0.030274672150787,0.0296690551208169,0.029755696648617,0.0283390436075958
1.7,0.0379851467215407,0.0348948792745027,0.0341140179801424,0.033024721058895,0.0317262640561656,0.0316539253208696,0.0305182390916476,0.029909115139026,0.0299941231698354,0.0285685678043972
1.8,0.0383279410957658,0.03516146433804,0.034384489691543,0.0332859252371238,0.0319428372576811,0.0318722266468242,0.030735855112876,0.0301236977554176,0.0302069177322248,0.0287739794617565
1.9,0.0386355717640103,0.0354011640501753,0.0346265584592122,0.0335201646575536,0.0321395643406767,0.0320726655532728,0.0309322323839747,0.0303174588370021,0.030398688060597,0.0289596441434698
2,0.0389139126489199,0.0356187170763273,0.0348449684202598,0.0337320433356517,0.0323201146321163,0.0322582083955142,0.0311111768265619,0.0304941544085223,0.0305731705290717,0.0291290981075691
2.1,0.0391677854477305,0.0358179687528629,0.0350436208156391,0.0339253410223144,0.0324874256944279,0.0324312451485424,0.0312757772743701,0.0306568292738927,0.0307334084399176,0.029285218857621
2.2,0.0394011622489518,0.0360020552304896,0.0352257357752204,0.0341031713047795,0.0326438633111915,0.0325937236646126,0.0314285533559281,0.0308079642054307,0.0308818924815421,0.0294303592799482
2.3,0.0396173281477875,0.0361735473713126,0.0353939822665969,0.0342681085720636,0.0327913438874749,0.0327472487047931,0.0315715709894274,0.0309495907361272,0.0310206711183375,0.0295664529144557
2.4,0.039819011318699,0.0363345633388013,0.0355505820920788,0.0344222896442449,0.0329314285423723,0.0328931556475404,0.0317065327044184,0.0310833808380314,0.031151437374726,0.0296950966121212
2.5,0.0400084869880126,0.0364868569394506,0.0356973930393759,0.0345674950711245,0.0330653958384012,0.0330325658826119,0.0318348484795719,0.031210717202453,0.0312755972027947,0.0298176155800785
2.6,0.0401876606379763,0.0366318872015405,0.0358359754223673,0.0347052142401219,0.0331942983284206,0.0331664288662666,0.0319576915131432,0.0313327485432434,0.0313943235160742,0.029935114737083
2.7,0.0403581347486443,0.0367708734181921,0.0359676454401336,0.0348366976361868,0.0333190067852931,0.0332955543868501,0.0320760423270581,0.0314504333180393,0.0315085990653648,0.0300485194243233
2.8,0.0405212625083885,0.0369048389002282,0.036093518088549,0.0349629989161252,0.033440245004971,0.0334206375860346,0.0321907238140395,0.0315645744663771,0.0316192506132436,0.0301586078229302
2.9,0.040678191205762,0.0370346459287194,0.0362145417875449,0.0350850089017504,0.0335586173530846,0.0335422785722784,0.0323024292286219,0.0316758471537702,0.0317269763033728,0.0302660368906544
3,0.0408298974403593,0.0371610238196383,0.0363315264281641,0.0352034831490062,0.0336746306919268,0.0336609979605906,0.0324117446581243,0.0317848210464978,0.0318323676882795,0.0303713632153572
3.1,0.0409772158362764,0.0372845915731293,0.0364451661798019,0.0353190643964445,0.0337887119291188,0.0337772493145598,0.0325191671558395,0.0318919782892009,0.031935927547281,0.0304750598650259
3.2,0.0411208625866982,0.0374058762449107,0.0365560581121582,0.0354323009187269,0.0339012221346124,0.0338914292100482,0.0326251194493829,0.0319977280895006,0.0320380843718623,0.0305775300708184
3.3,0.0412614548823194,0.0375253279219793,0.0366647174626989,0.0355436615935968,0.0340124679522434,0.0340038854549657,0.0327299619319528,0.0321024186101029,0.0321392042009007,0.0306791183934242
