"Freq [GHz]","dB(St(2,1)) [] - g='14.5um'","dB(St(2,1)) [] - g='16.5um'","dB(St(2,1)) [] - g='17.5um'","dB(St(2,1)) [] - g='18.5um'","dB(St(2,1)) [] - g='19.5um'","dB(St(2,1)) [] - g='20.5um'","dB(St(2,1)) [] - g='21.5um'","dB(St(2,1)) [] - g='22.5um'","dB(St(2,1)) [] - g='23.5um'","dB(St(2,1)) [] - g='25.5um'"
1,-0.149459359001905,-0.139604696110687,-0.136066254152349,-0.131561711106933,-0.128433085009739,-0.129036579322666,-0.122911089382872,-0.120263901374813,-0.121009041505591,-0.114940587511167
1.1,-0.153613022592627,-0.142949970017546,-0.1394124312845,-0.134750929659806,-0.131126992256293,-0.131585550767853,-0.125618175395117,-0.122914130896874,-0.123685733110081,-0.11744772741863
1.2,-0.157181141319173,-0.145792966600573,-0.142292674925124,-0.137485269200905,-0.133406439487057,-0.133776356663398,-0.127926751642611,-0.125167475722028,-0.12598231765885,-0.119590697729796
1.3,-0.160263017862812,-0.148229448339352,-0.144786179798811,-0.139842227445675,-0.135359059431494,-0.135691352075606,-0.129913671859399,-0.127100677000003,-0.127970691305833,-0.12143831409085
1.4,-0.162943731892584,-0.150337782433177,-0.146960887818346,-0.141888149313068,-0.137053729472518,-0.137392209971998,-0.131641747132499,-0.12877626550774,-0.129710260346071,-0.123047300226808
1.5,-0.165294417591188,-0.152181220252913,-0.148873666792391,-0.143678480502542,-0.13854428382069,-0.138925346493177,-0.133161620599941,-0.130244541323018,-0.13124933063291,-0.124463696752396
1.6,-0.167373760170019,-0.153810499688,-0.150571477746579,-0.145258953604582,-0.139872779852139,-0.140325985926187,-0.13451388129903,-0.131545744373069,-0.132626880591532,-0.125724602550315
1.7,-0.169229848151896,-0.155266256610812,-0.152092836887558,-0.146667041123136,-0.14107215670351,-0.141621132935588,-0.135731012741681,-0.132712031192019,-0.133874276757611,-0.126859840035848
1.8,-0.170901981519088,-0.156581075412735,-0.153469249214751,-0.147933368390355,-0.142168320094033,-0.142831723955585,-0.136839044838843,-0.133769138936847,-0.135016768217953,-0.127893396509419
1.9,-0.172422275015446,-0.157781159882867,-0.154726482885207,-0.149082963933433,-0.143181747706542,-0.143974180764396,-0.137858897242964,-0.134737732146729,-0.136074723855757,-0.1288446124688
2,-0.173817012582838,-0.15888766452638,-0.155885647492795,-0.150136314588961,-0.144128715456673,-0.145061534768108,-0.13880744810972,-0.135634470517086,-0.137064629492823,-0.129729136451538
2.1,-0.175107761542388,-0.159917743110444,-0.156964082065495,-0.151110232934035,-0.145022232078872,-0.146104244636712,-0.139698374895556,-0.136472846690705,-0.137999880096771,-0.130559681914502
2.2,-0.176312275600157,-0.160885370168198,-0.157976075337444,-0.152018560120473,-0.145872752287376,-0.147110794956794,-0.140542812497402,-0.137263840662298,-0.138891404726239,-0.131346623240703
2.3,-0.1774452208655,-0.161801983740201,-0.158933445192476,-0.152872730936638,-0.146688722793711,-0.148088138072783,-0.141349867793744,-0.138016430522169,-0.139748158212613,-0.132098463971381
2.4,-0.178518757398757,-0.162676988800834,-0.159846003004079,-0.153682226489883,-0.147477002286372,-0.149042023110633,-0.142127022405855,-0.138737991676908,-0.14057750804251,-0.132822204792433
2.5,-0.179543004587915,-0.163518152621329,-0.160721925329812,-0.15445493655394,-0.148243186198489,-0.14997724334802,-0.14288044883547,-0.139434609833481,-0.141385539365967,-0.133523633350037
2.6,-0.180526413883626,-0.164331916414149,-0.161568051670035,-0.155197449882116,-0.148991859293452,-0.150897824075904,-0.1436152595456,-0.140111327344435,-0.142177296205063,-0.134207553244666
2.7,-0.181476067959873,-0.165123642054742,-0.162390123474413,-0.155915287303268,-0.149726793271996,-0.151807166757869,-0.144335704073859,-0.14077233798545,-0.142956972947725,-0.134877965690213
2.8,-0.182397921524261,-0.165897808333357,-0.163192976532349,-0.15661308942525,-0.150451102280343,-0.152708160830621,-0.145045325769834,-0.141421141717064,-0.143728067037053,-0.135538214265075
2.9,-0.183296995831469,-0.166658167838457,-0.163980696364399,-0.157294768306493,-0.151167365997112,-0.153603271335969,-0.145747087053532,-0.142060668280768,-0.144493501287402,-0.136191100800184
3,-0.184177536401841,-0.167407873007367,-0.16475674420125,-0.157963630475504,-0.151877727604724,-0.15449460833761,-0.146443470031054,-0.142693376419206,-0.145255722342582,-0.136838978612787
3.1,-0.1850431414229,-0.168149577922144,-0.165524059524194,-0.158622477107748,-0.152583972189211,-0.155383982480875,-0.147136557732936,-0.143321333943319,-0.146016780318689,-0.137483827885751
3.2,-0.185896866719226,-0.168885520936054,-0.166285143871288,-0.159273685934532,-0.153287589798985,-0.156272949910081,-0.147828100043842,-0.143946282677622,-0.14677839354432,-0.138127316913418
3.3,-0.186741311929012,-0.169617592077133,-0.167042129618208,-0.159919278491337,-0.153989826409577,-0.157162848933329,-0.148519567479745,-0.144569691407657,-0.147542001444281,-0.138770852108308
3.4,-0.187578691550751,-0.170347388303983,-0.16779683666425,-0.160560975556987,-0.154691725301242,-0.158054830226136,-0.149212195271105,-0.145192799261036,-0.148308807947082,-0.139415619028827
3.5,-0.188410876350217,-0.171076260124489,-0.168550822362366,-0.161200237314071,-0.155394167055679,-0.158949901166942,-0.14990703473892,-0.145816659431895,-0.149079842019594,-0.140062631289353
3.6,-0.189239496882058,-0.171805360902935,-0.169305430809531,-0.161838328284956,-0.156097893504924,-0.159848918801173,-0.150604963646415,-0.146442163383546,-0.149855947783532,-0.140712738533119
3.7,-0.19006594652182,-0.172535651500149,-0.17006179421046,-0.162476319858597,-0.156803513314718,-0.160752587652455,-0.151306690913557,-0.147070044788773,-0.150637789721446,-0.141366630090588
3.8,-0.190891392191649,-0.173267936828106,-0.170820875497868,-0.163115114307937,-0.157511538549441,-0.161661519219803,-0.152012813979038,-0.147700922404681,-0.151425929013751,-0.142024890732934
3.9,-0.191716828041183,-0.174002891964389,-0.171583494426334,-0.163755478746853,-0.158222397273058,-0.162576229605987,-0.152723825268937,-0.148335313328651,-0.152220820003853,-0.142688005823461
4,-0.19254309956569,-0.174741080483242,-0.172350346788562,-0.164398063908504,-0.158936446292147,-0.163497150544867,-0.153440126845132,-0.14897364735329,-0.153022824717759,-0.143356374994726
4.1,-0.193370924048294,-0.175482969956493,-0.173122020705934,-0.165043420053209,-0.159653981762733,-0.164424638943966,-0.15416204280126,-0.149616279100887,-0.153832225165792,-0.144030323726895
4.2,-0.194200907945703,-0.176228945110573,-0.17389901048931,-0.165692010491047,-0.160375248042611,-0.165358985183087,-0.154889829794058,-0.150263498319546,-0.154649233807749,-0.144710113188119
4.3,-0.195033561722882,-0.176979319034351,-0.174681728474692,-0.166344223115155,-0.161100445098087,-0.166300420363926,-0.155623686024656,-0.150915538651021,-0.155474002491257,-0.145395948629974
