"Freq [GHz]","dB(St(1,1)) [] - g_pillar_position='49.5um'","dB(St(1,1)) [] - g_pillar_position='62um'","dB(St(1,1)) [] - g_pillar_position='74.5um'","dB(St(1,1)) [] - g_pillar_position='87um'","dB(St(1,1)) [] - g_pillar_position='99.5um'","dB(St(1,1)) [] - g_pillar_position='112um'","dB(St(1,1)) [] - g_pillar_position='124.5um'","dB(St(1,1)) [] - g_pillar_position='137um'","dB(St(1,1)) [] - g_pillar_position='149.5um'","dB(St(1,1)) [] - g_pillar_position='162um'","dB(St(1,1)) [] - g_pillar_position='174.5um'","dB(St(1,1)) [] - g_pillar_position='187um'","dB(St(1,1)) [] - g_pillar_position='199.5um'"
9.8,-22.4006338723962,-23.5899640579579,-22.766544691308,-24.0398367607897,-23.6828904603818,-22.5501736990153,-24.5235960115806,-22.7113568345017,-23.3226368300404,-22.5911555026386,-24.8139687624342,-24.810551406711,-24.9898241123915
9.9,-22.3339755330723,-23.5235853431249,-22.7015219336407,-23.9727874766237,-23.6157164286717,-22.4860377373647,-24.4566684495224,-22.6469016784292,-23.2581471305708,-22.5271424415573,-24.7475645901733,-24.7452149959961,-24.9239407349258
10,-22.2684459110511,-23.4582706678205,-22.6376375780462,-23.906829934037,-23.549610378015,-22.4230254904504,-24.3908669076921,-22.5835869215788,-23.1947117199615,-22.4642618012215,-24.6821972743371,-24.6810051856475,-24.8591363809058
10.1,-22.2040282489335,-23.3940051716915,-22.5748772053867,-23.8419490051844,-23.484557278815,-22.3611211422164,-24.3261769725868,-22.5213963703238,-23.1323165290134,-22.4024988873804,-24.6178540879966,-24.6179083903076,-24.7953964425269
10.2,-22.1407062873913,-23.3307744143738,-22.5132267962063,-23.7781300185757,-23.4205425431389,-22.3003093442325,-24.2625845596638,-22.4603143284626,-23.0709479209549,-22.3418394808828,-24.5545226614509,-24.5559114267234,-24.7327067322358
10.3,-22.0784642471435,-23.2685643612602,-22.4526727142074,-23.7153587423276,-23.3575520081731,-22.2405751991078,-24.2000759007543,-22.4003255788313,-23.0105926761989,-22.2822698183659,-24.4921909678378,-24.4950014957925,-24.6710534672092
10.4,-22.0172868117581,-23.2073613698676,-22.3932016906669,-23.6536213681553,-23.295571920407,-22.1819042446514,-24.1386375322822,-22.341415365772,-22.9512379777264,-22.2237765738555,-24.4308473093732,-24.4351661655352,-24.6104232545021
10.5,-21.9571591112326,-23.1471521767731,-22.3348008097359,-23.5929044960666,-23.234588920511,-22.1242824387411,-24.0782562842388,-22.2835693784104,-22.8928713970689,-22.1663468412291,-24.3704803041908,-24.3763933549445,-24.5508030768344
10.6,-21.8980667063105,-23.0879238850897,-22.2774574945652,-23.5331951197225,-23.1745900288709,-22.0676961448617,-24.0189192698647,-22.2267737346958,-22.8354808808588,-22.1099681174961,-24.3110788737551,-24.3186713186636,-24.4921802789828
10.7,-21.8399955734949,-23.0296639524503,-22.2211594942095,-23.4744806124304,-23.1155626317469,-22.0121321182769,-23.9606138760004,-22.1710149661628,-22.7790547379232,-22.0546282868518,-24.2526322308205,-24.261988632449,-24.4345425547492
10.8,-21.782932090721,-22.9723601794664,-22.165894871259,-23.4167487137392,-23.0574944680253,-21.9575774928011,-23.9033277540596,-22.1162800033735,-22.7235816268928,-22.0003156054663,-24.1951298679123,-24.2063341793748,-24.377877934476
10.9,-21.7268726477311,-22.9160098440781,-22.111661896902,-23.3599969207764,-23.0003827911384,-21.9040294235207,-23.8470585707435,-22.0625659551808,-22.6690596760057,-21.9470285379963,-24.1385706065063,-24.1517070088313,-24.3221840889286
11,-21.6717945203005,-22.8605920383186,-22.0584391068098,-23.3042040472806,-22.9442066161559,-21.8514658814436,-23.7917844994991,-22.0098504859395,-22.6154688772384,-21.8947459845648,-24.0829352186588,-24.098086510245,-24.2674401581097
11.1,-21.6176852206787,-22.8060955350711,-22.006215444275,-23.2493588656727,-22.8889546744795,-21.7998750715775,-23.7374939436257,-21.9581216520428,-22.5627988777264,-21.8434572417765,-24.0282139787044,-24.0454624200361,-24.2136351204181
