"Freq [GHz]","dB(St(2,1)) [] - g_pillar_position='49.5um'","dB(St(2,1)) [] - g_pillar_position='62um'","dB(St(2,1)) [] - g_pillar_position='74.5um'","dB(St(2,1)) [] - g_pillar_position='87um'","dB(St(2,1)) [] - g_pillar_position='99.5um'","dB(St(2,1)) [] - g_pillar_position='112um'","dB(St(2,1)) [] - g_pillar_position='124.5um'","dB(St(2,1)) [] - g_pillar_position='137um'","dB(St(2,1)) [] - g_pillar_position='149.5um'","dB(St(2,1)) [] - g_pillar_position='162um'","dB(St(2,1)) [] - g_pillar_position='174.5um'","dB(St(2,1)) [] - g_pillar_position='187um'","dB(St(2,1)) [] - g_pillar_position='199.5um'"
1,-0.105616436001132,-0.104855482840469,-0.105577653787336,-0.104455283503203,-0.104596950943396,-0.106578353671833,-0.105645671177965,-0.107486822903945,-0.106337328951064,-0.107971220594347,-0.106358253480476,-0.107157668035398,-0.107543274656044
1.1,-0.107904128254621,-0.107026119019952,-0.107679746556695,-0.106503825260057,-0.106612700279004,-0.108926966045051,-0.108193454914247,-0.109793836949451,-0.1085404129575,-0.110326888106962,-0.108579575264495,-0.109461206434711,-0.109585401010521
1.2,-0.109845781484786,-0.108859174380882,-0.109451690384215,-0.108227340183105,-0.108305185536851,-0.110925246329439,-0.110433361457677,-0.111737270748372,-0.110415837740967,-0.112339974911814,-0.110471897448493,-0.111428381248352,-0.111296859209988
1.3,-0.111511278948655,-0.110424841751929,-0.110967073959344,-0.109698540079369,-0.109747374605056,-0.11264221538899,-0.11240110241679,-0.113391750522337,-0.112028868483451,-0.114076012661597,-0.112098782735798,-0.113122523785977,-0.112754628476877
1.4,-0.112957976692668,-0.111779978037862,-0.112283950078736,-0.110974519331838,-0.110996429504077,-0.114135019404687,-0.114133641677177,-0.114818187624464,-0.113433288432731,-0.115589981236616,-0.113513161707795,-0.114596930155161,-0.114018027814585
1.5,-0.114231964768476,-0.112969796080334,-0.113447531202667,-0.112099576869969,-0.112096610486853,-0.11544989752471,-0.115665721236868,-0.116065663545349,-0.1146723615267,-0.116926797216883,-0.114758025378348,-0.115895251927544,-0.115132390947224
1.6,-0.115369891333215,-0.114029932188073,-0.114492844327656,-0.113107922732067,-0.11308203600597,-0.116623829839629,-0.117028401998839,-0.117173651741344,-0.115780476319256,-0.118122649419113,-0.115867846974551,-0.117052731482526,-0.116132284783212
1.7,-0.11640076859903,-0.114988382767084,-0.115447000788612,-0.114025962462263,-0.11397899985511,-0.117686241273478,-0.118248676295928,-0.118173977997404,-0.116784835535926,-0.119206500265409,-0.116870105866593,-0.11809761929598,-0.117044096821649
1.8,-0.11734754782067,-0.115867144387332,-0.116331019723026,-0.114874117677576,-0.114807810509103,-0.118660519258631,-0.119349613717138,-0.119092309551152,-0.117706948207659,-0.120201473561895,-0.117786666393084,-0.119052497376191,-0.117888033375193
1.9,-0.118228414281327,-0.116683536860172,-0.117161248237316,-0.115668235971125,-0.115584210816134,-0.119565277785549,-0.120350742389349,-0.119949186263198,-0.118563859897717,-0.121126036307302,-0.118634937162392,-0.119935414268375,-0.118679632666956
