"Freq [GHz]","lost_power_fraction [] - g_pillar_position='49.5um'","lost_power_fraction [] - g_pillar_position='62um'","lost_power_fraction [] - g_pillar_position='74.5um'","lost_power_fraction [] - g_pillar_position='87um'","lost_power_fraction [] - g_pillar_position='99.5um'","lost_power_fraction [] - g_pillar_position='112um'","lost_power_fraction [] - g_pillar_position='124.5um'","lost_power_fraction [] - g_pillar_position='137um'","lost_power_fraction [] - g_pillar_position='149.5um'","lost_power_fraction [] - g_pillar_position='162um'","lost_power_fraction [] - g_pillar_position='174.5um'","lost_power_fraction [] - g_pillar_position='187um'","lost_power_fraction [] - g_pillar_position='199.5um'"
1,0.023897280515991,0.0236742815105246,0.0238882972637338,0.0236461890934726,0.0236538229590063,0.0240742293204396,0.0239207183720408,0.024317672351803,0.0239984806159186,0.0244181838420878,0.0240451162576165,0.0242715502932305,0.0243374021607559
1.1,0.0243959132854406,0.0241508212072398,0.0243452997287324,0.0240956638518182,0.024095726666556,0.0245875006428863,0.0244838211618109,0.0248219967085334,0.0244791512512552,0.024931424077394,0.0245341308980296,0.0247790821524187,0.0247880084439445
1.2,0.0248155005163452,0.0245505408019018,0.0247269144726137,0.0244712593715244,0.0244639602176849,0.0250205495736129,0.0249765165816132,0.0252432551517904,0.024885704710874,0.0253665379314417,0.0249486756756452,0.0252106846913524,0.0251635253602775
1.3,0.0251716757132485,0.0248891256935414,0.0250495878971058,0.0247892469188087,0.0247748618772859,0.0253888516552506,0.0254069428642017,0.0255981706994032,0.0252324726688756,0.0257380936962939,0.0253028883189607,0.025580350227662,0.0254812073026787
1.4,0.0254772831489973,0.025179307325395,0.0253263099744725,0.0250624180011169,0.0250412499140324,0.0257052425216621,0.0257834897995129,0.025900404519206,0.0255313578774804,0.0260583566302943,0.0256085938715045,0.0258999162882344,0.0257543662645875
1.5,0.0257426518282831,0.0254312239869482,0.0255672085933502,0.025300706113532,0.0252730605451937,0.0259801196903721,0.0261140246780428,0.0261609717884272,0.0257919846455662,0.0263373714037771,0.0258754233331143,0.0261791129413814,0.0259931850216318
1.6,0.025975999924612,0.0256528750928566,0.0257801388067901,0.0255117879612151,0.025477960331492,0.0262218055854313,0.0264055705499111,0.0263887366438447,0.0260220311368942,0.0265832463266287,0.0261111135653673,0.026425816400872,0.026205433776056
1.7,0.0261838371905227,0.0258505507195525,0.0259711879330544,0.0257015927383938,0.0256618626097313,0.026436927018303,0.0266642241064055,0.0265908500820546,0.0262275880405288,0.0268024812238804,0.0263218394711618,0.0266463532786929,0.0263970481066421
1.8,0.0263713166304438,0.0260291969835083,0.0261450818827669,0.0258747088247659,0.0258293384551883,0.0266307546614033,0.0268951921515651,0.0267730829793503,0.026413481942116,0.0270002734665232,0.0265125185420673,0.0268457894743369,0.0265725761626165
1.9,0.0265425239715922,0.026192711544556,0.0263055018868425,0.0260346991570992,0.0259839343856364,0.0268074864058967,0.0271028799362296,0.026940056872128,0.026583544971348,0.027180779909132,0.0266870687158303,0.0270281800898484,0.0267355177214249
2,0.0267007086438993,0.0263441763881212,0.0264553274742566,0.0261843421982413,0.0261284144382331,0.0269704756145063,0.0272909959888511,0.0270954057107301,0.0267408308803361,0.0273473316060865,0.0268486181404724,0.0271967758708396,0.0268885788595469
2.1,0.0268484650600221,0.026486038690943,0.0265968214959625,0.0263258148334718,0.0262649434384737,0.027122411516421,0.02746265574778,0.0272419115339542,0.0268877845840319,0.0275026057941961,0.026999672207044,0.0273541895418281,0.0270338626358282
2.2,0.0269878737041384,0.0266202504306512,0.0267317706864615,0.0264608309321444,0.0263952255201275,0.0272654603797698,0.0276204759934104,0.0273816445643457,0.0270263737891617,0.0276487619546717,0.0271422450644606,0.0275025280159195,0.0271730119439078
2.3,0.027120610568101,0.02674837591949,0.0268615925306273,0.0265907464385668,0.026520608962191,0.0274013755108104,0.0277666572204246,0.0275161138807171,0.0271581907647946,0.0277875488083712,0.0272779626172796,0.0276434967434531,0.02730731683443
2.4,0.0272480320153183,0.0268716746870559,0.0269874167377821,0.0267166393148108,0.0266421657881019,0.0275315828889191,0.027903053686068,0.0276464155542023,0.0272845310175341,0.0279203882740866,0.0274081430545198,0.0277784818251007,0.0274377954835628
2.5,0.0273712407085599,0.0269911655222583,0.0271101476072612,0.0268393706050503,0.026760752467906,0.0276572479254795,0.0280312320733464,0.0277733605947612,0.0274064542610414,0.0280484413729307,0.0275338598511615,0.0279086146005495,0.0275652555850298
2.6,0.0274911369885531,0.0271076761394749,0.0272305119973818,0.026959631304525,0.0268770564453144,0.0277793276544271,0.0281525201708816,0.0278975722009538,0.0275248318558161,0.0281726600620646,0.0276559911610011,0.0280348225155792,0.0276903411504383
2.7,0.0276084590757361,0.0272218818668454,0.0273490964160446,0.0270779785192917,0.0269916319949695,0.0278986116855052,0.0282680470574331,0.0280195517638712,0.0276403839061825,0.028293828123249,0.0277752586574692,0.0281578692745016,0.0278135683830535
2.8,0.0277238146710375,0.0273343359307783,0.0274663758578291,0.0271948635113568,0.0271049280120209,0.0280157544746016,0.0283787761873664,0.0281397196179058,0.0277537084289781,0.028412593533834,0.0278922581854122,0.028278386628316,0.0279353533254108
2.9,0.0278377059180541,0.0274454932839744,0.0275827363486742,0.0273106535640117,0.0272173096696745,0.0281313008611543,0.0284855326095344,0.0282584384591298,0.0278653044187866,0.0285294941961775,0.0280074840432472,0.0283968996246129,0.0280560332776751
3,0.0279505492214346,0.0275557294514518,0.0276984926676139,0.0274256491149962,0.0273290753896591,0.0282457063579355,0.0285890253702999,0.0283760263113958,0.0279755901900903,0.0286449784726521,0.0281213482947116,0.0285138467342356,0.0281758834704226
3.1,0.0280626910619149,0.0276653555136024,0.0278139023509816,0.0275400972453565,0.0274404702091054,0.0283593533232464,0.0286898659779395,0.0284927638591244,0.0280849180435503,0.0287594216430234,0.0282341961873798,0.0286295959510395,0.0282951301002246
3.2,0.0281744206805037,0.0277746300784334,0.0279291768145073,0.0276542023456171,0.027551696360483,0.0284725638747179,0.0287885836513055,0.0286088990520877,0.0281935860543177,0.0288731391476499,0.0283463185090867,0.0287444577152609,0.0284139605609588
3.3,0.0282859803016557,0.0278837688945895,0.0280444902279368,0.0277681345831451,0.0276629216836067,0.0285856101979992,0.0288856379436648,0.0287246505245127,0.0283018475934776,0.0289863972860287,0.0284579615256369,0.0288586953219376,0.0285325315006283
3.4,0.0283975734118878,0.0279929526056466,0.0281599866269038,0.0278820366472541,0.0277742863417314,0.0286987227482011,0.0289814292224545,0.0288402105446216,0.0284099190533541,0.0290994218917206,0.0285693349997489,0.0289725333304079,0.0286509751829148
3.5,0.0285093732159044,0.028102334630239,0.0282757876120014,0.0279960300897893,0.0278859099588547,0.0288120988254266,0.0290763044339965,0.0289557483875955,0.0285179869116839,0.0292124060039683,0.0286806190072931,0.0290861641860163,0.0287694049319607
3.6,0.0286215264647047,0.0282120446388627,0.0283919942187858,0.0281102190124594,0.0279978936687318,0.0289259054325887,0.0291705742009362,0.0290714135917795,0.0286262133391159,0.0293255164464216,0.0287919704916826,0.0291997562235519,0.028887919526283
3.7,0.0287341545820057,0.0283221897376325,0.0285086883395283,0.028224691132429,0.0281103212814448,0.0290402792778987,0.0292645116974339,0.0291873349655807,0.0287347366670056,0.0294388946875716,0.0289035239183971,0.0293134542815695,0.0290066040824424
3.8,0.0288473618549765,0.0284328619961445,0.0286259404411198,0.0283395231815113,0.0282232663231106,0.0291553350968823,0.0293583538990598,0.0293036251417329,0.0288436774996147,0.0295526630815064,0.0290153964794659,0.0294273841332503,0.0291255340406711
3.9,0.0289612374455988,0.0285441402435294,0.0287438105115718,0.0284547826612031,0.0283367930331817,0.0292711665619278,0.0294523103125828,0.0294203827860978,0.0289531415553808,0.0296669282010054,0.0291276913396132,0.0295416564626492,0.0292447771850283
4,0.0290758579078994,0.0286560923584001,0.0288623500528439,0.0285705296228047,0.0284509582184138,0.0293878480628928,0.0295465666145754,0.0295376945064112,0.0290632220197534,0.0297817834402907,0.0292404999519799,0.0296563693136638,0.0293643951967193
4.1,0.0291912892774939,0.0287687771577876,0.0289816037051739,0.0286868180970114,0.0285658127714382,0.0295054363307707,0.0296412877411138,0.0296556365490507,0.0291740014949906,0.0298973111638534,0.0293539039554359,0.0297716101008619,0.0294844448785907
4.2,0.0293075888094069,0.0288822459573945,0.0291016105711039,0.0288036972401016,0.0286814029227961,0.0296239721913319,0.0297366205196395,0.0297742762907777,0.0292855536183175,0.0300135844825607,0.029467976730524,0.0298874572627838,0.029604979116525
4.3,0.0294248064255015,0.0289965438614283,0.0292224052940192,0.0289212122504997,0.0287977712830198,0.0297434826995639,0.0298326959177132,0.0298936735383551,0.0293979444063641,0.0301306687228958,0.0295827846762496,0.030003981622826,0.029726047630221
4.4,0.0295429859212473,0.0291117108292182,0.029344018935488,0.0290394050991863,0.0289149577217607,0.029863983808773,0.0299296309702046,0.0300138816522004,0.0295112333731084,0.0302486226428771,0.0296983882581992,0.0301212475105591,0.0298476975554514
4.5,0.0296621659723616,0.0292277825570281,0.0294664796873298,0.0291583151090093,0.0290330001235085,0.0299854835709673,0.0300275304357423,0.0301349485116476,0.0296254744599372,0.0303674994384532,0.0298148428690689,0.0302393136864278,0.0299699738916355
4.6,0.0297823809745131,0.0293447912064527,0.0295898134477044,0.0292779794114519,0.0291519350532097,0.0301079856773201,0.0301264882244861,0.0302569173394454,0.0297407168095657,0.0304873475762262,0.0299321995350971,0.0303582341048751,0.0300929198419944
4.7,0.029903661743373,0.0294627660051802,0.0297140442851644,0.0293984333040127,0.0292717983593509,0.0302314929848822,0.0302265886321744,0.0303798274024207,0.029857005409985,0.0306082114820539,0.0300505054958548,0.0304780585445524,0.030216577068281
4.8,0.0300260360975976,0.0295817337413756,0.029839194810364,0.0295197105271661,0.0293926257358829,0.0303560105992726,0.0303279074095695,0.0305037146039959,0.0299743816300943,0.0307301321098754,0.0301698046798673,0.0305988331290787,0.0303409858779115
4.9,0.0301495293434186,0.0297017191692859,0.0299652864716076,0.0296418434763545,0.0295144532559486,0.0304815481290896,0.0304305126916149,0.030628611982896,0.0300928836649606,0.0308531474109455,0.0302901380945651,0.0307206007576331,0.0304661853578248
