Meta Data
Label,Value,


Analytical Results
Table: General
Label,Value,Units
M Cursor Pos,7173.273,nm
M Cursor Width,12745.784,nm
R Cursor Pos,63047.024,nm
R Cursor Width,-1755.976,nm
Type,Two-Points Cursors,


Data Leveling Position
R Cursor Position,63047.0262115765 nm
R Cursor Width,-1755.97624104493 nm
M Cursor Position,7173.27339111467 nm
M Cursor Width,12745.7839808445 nm


Data
Lateral(nm),Height Data(µm),,
0,0.0105173220196331,,
9.99833360803857,0.0106356968522829,,
19.9966672160771,0.0110978373877471,,
29.9950008241157,0.0107431527749519,,
39.9933344321543,0.0102515426494007,,
49.9916680401928,0.010255636030942,,
59.9900016482314,0.0100546220705379,,
69.98833525627,0.00947969902291079,,
79.9866688643085,0.00909552368143341,,
89.9850024723471,0.00773603668233845,,
99.9833360803857,0.00606597021811758,,
109.981669688424,0.00503759522925247,,
119.980003296463,0.00415862987471046,,
129.978336904501,0.00264282017948572,,
139.97667051254,0.000749071425956208,,
149.975004120578,-0.000946455431735376,,
159.973337728617,-0.00196927339555696,,
169.971671336656,-0.0033034212412429,,
179.970004944694,-0.00451122549079009,,
189.968338552733,-0.00525672128911247,,
199.966672160771,-0.00573829207899398,,
209.96500576881,-0.00605645041441312,,
219.963339376848,-0.00594274858630379,,
229.961672984887,-0.00555153771048645,,
239.960006592926,-0.00547662105524214,,
249.958340200964,-0.00554373224619776,,
259.956673809003,-0.00555649876273237,,
269.955007417041,-0.00622528521383647,,
279.95334102508,-0.00705669220609125,,
289.951674633118,-0.00815705753850634,,
299.950008241157,-0.00868321282222751,,
309.948341849196,-0.00882543804526213,,
319.946675457234,-0.00920408988411655,,
329.945009065273,-0.00979749514419818,,
339.943342673311,-0.00963825866386178,,
349.94167628135,-0.00959537195072044,,
359.940009889388,-0.00913006917461753,,
369.938343497427,-0.00834923388120369,,
379.936677105466,-0.00803493515386945,,
389.935010713504,-0.00778120356444852,,
399.933344321543,-0.00660844048451982,,
409.931677929581,-0.00524937637097901,,
419.93001153762,-0.0041046839114686,,
429.928345145658,-0.0024051539259206,,
439.926678753697,-0.000172574555146275,,
449.925012361735,0.00160095094946446,,
459.923345969774,0.00228729084435618,,
469.921679577813,0.00314697568109841,,
479.920013185851,0.00458714724624879,,
489.91834679389,0.00580854477154207,,
499.916680401928,0.00663336053735111,,
509.915014009967,0.00729774884939543,,
519.913347618005,0.00780252647608868,,
529.911681226044,0.00816033508805558,,
539.910014834083,0.00892214842808899,,
549.908348442121,0.009720018692757,,
559.90668205016,0.0102904527575127,,
569.905015658198,0.0103686105001601,,
579.903349266237,0.0110243418912811,,
589.901682874275,0.0121574736406503,,
599.900016482314,0.0124202055987786,,
609.898350090353,0.0129235316012346,,
619.896683698391,0.0134851447454072,,
629.89501730643,0.0137447897603677,,
639.893350914468,0.0134500255650491,,
649.891684522507,0.0124940808050917,,
659.890018130545,0.0110784638503857,,
669.888351738584,0.00867170112493914,,
679.886685346622,0.00664394586647977,,
689.885018954661,0.0053876388811972,,
699.8833525627,0.00369315836546593,,
