Meta Data
Label,Value,


Analytical Results
Table: General
Label,Value,Units
M Cursor Pos,345503.136,nm
M Cursor Width,14164.591,nm
R Cursor Pos,2719580.928,nm
R Cursor Width,-13738.082,nm
Type,Two-Points Cursors,


Data Leveling Position
R Cursor Position,2719580.91787082 nm
R Cursor Width,-13738.0820618963 nm
M Cursor Position,345503.126806753 nm
M Cursor Width,14164.5906582221 nm


Data
Lateral(nm),Height Data(nm),,
0,119.590736789187,,
157.915231580608,115.352119876446,,
315.830463161215,113.214609289448,,
473.745694741823,111.176880360922,,
631.660926322431,108.858790526275,,
789.576157903038,109.601214970915,,
947.491389483646,112.290193031519,,
1105.40662106425,111.79756351481,,
1263.32185264486,111.235928265437,,
1421.23708422547,109.836703427781,,
1579.15231580608,109.04754170224,,
1737.06754738668,110.317121245194,,
1894.98277896729,113.294066219037,,
2052.8980105479,114.852030951822,,
2210.81324212851,113.17935360777,,
2368.72847370911,109.875030102291,,
2526.64370528972,108.507711822038,,
2684.55893687033,110.33230617174,,
2842.47416845094,112.851495001472,,
3000.38940003154,114.882758227924,,
3158.30463161215,114.518202388394,,
3316.21986319276,112.406387470654,,
3474.13509477337,110.152088990778,,
3632.05032635398,110.474086266742,,
3789.96555793458,112.266034743954,,
3947.88078951519,112.349571435718,,
4105.7960210958,109.759716437761,,
4263.71125267641,107.328008561403,,
4421.62648425701,107.278357240927,,
4579.54171583762,110.091159252888,,
4737.45694741823,113.790516833861,,
4895.37217899884,115.597145707283,,
5053.28741057944,115.068819839796,,
5211.20264216005,111.717723833616,,
5369.11787374066,109.513415031527,,
5527.03310532127,110.483134525586,,
5684.94833690188,113.623692453954,,
5842.86356848248,115.57797964144,,
6000.77880006309,115.54733926655,,
6158.6940316437,114.136756322899,,
6316.60926322431,112.817934958048,,
6474.52449480491,112.445983145348,,
6632.43972638552,112.97572002345,,
6790.35495796613,113.352125760773,,
6948.27018954674,111.946580919485,,
7106.18542112734,109.548477178847,,
7264.10065270795,108.32572532292,,
7422.01588428856,109.010678152067,,
7579.93111586917,111.513141286757,,
7737.84634744977,112.817446768336,,
7895.76157903038,112.258838113068,,
8053.67681061099,109.982501228354,,
8211.5920421916,108.248410811043,,
8369.5072737722,108.332775219429,,
8527.42250535281,111.003265871708,,
8685.33773693342,113.943009460711,,
8843.25296851403,113.971792363664,,
9001.16820009464,110.848861658004,,
9159.08343167524,107.942191358126,,
9316.99866325585,108.736998541279,,
9474.91389483646,111.298237598517,,
9632.82912641707,114.866003932956,,
9790.74435799767,116.11495156712,,
9948.65958957828,114.991136563588,,
10106.5748211589,112.117479840642,,
10264.4900527395,110.519833064191,,
10422.4052843201,111.321342431836,,
10580.3205159007,113.114753418346,,
10738.2357474813,113.017749438327,,
10896.1509790619,112.504167957644,,
11054.0662106425,112.67274183189,,
11211.9814422231,114.62104269505,,
11369.8966738038,116.290106511772,,
11527.8119053844,116.040997131242,,
11685.727136965,114.651341342628,,
11843.6423685456,111.766536996002,,
12001.5576001262,108.956999919957,,
