Meta Data
Label,Value,


Analytical Results
Table: General
Label,Value,Units
M Cursor Pos,26886.356,nm
M Cursor Width,-5023.922,nm
R Cursor Pos,1895785.344,nm
R Cursor Width,0,nm
Type,Two-Points Cursors,


Data Leveling Position
R Cursor Position,1895785.39552993 nm
R Cursor Width,0 nm
M Cursor Position,26886.3566922391 nm
M Cursor Width,-5023.92214741278 nm


Data
Lateral(nm),Height Data(nm),,
0,0.837885768615524,,
169.460615456058,-6.45622252349494,,
338.921230912117,-8.43197005376787,,
508.381846368175,-7.90796935289618,,
677.842461824233,-9.54599329738558,,
847.303077280292,-6.07630684823307,,
1016.76369273635,-0.297371778076194,,
1186.22430819241,2.12506015654872,,
1355.68492364847,2.38735087530513,,
1525.14553910453,-0.156213025223406,,
1694.60615456058,-0.574490299099853,,
1864.06677001664,1.40570248794611,,
2033.5273854727,3.44295147312514,,
2202.98800092876,1.75921230615786,,
2372.44861638482,-2.05230140351341,,
2541.90923184088,-5.59771649827235,,
2711.36984729693,-6.90177391478283,,
2880.83046275299,-5.96864406273235,,
3050.29107820905,-2.92724781421057,,
3219.75169366511,-0.803597354107478,,
3389.21230912117,-1.83737190500397,,
3558.67292457722,-5.94465201770945,,
3728.13354003328,-8.15179216182587,,
3897.59415548934,-5.33511653440873,,
4067.0547709454,0.0509491288350546,,
4236.51538640146,2.6941240864151,,
4405.97600185752,2.07130732389996,,
4575.43661731358,-1.27195368536341,,
4744.89723276963,-4.11281963818037,,
4914.35784822569,-3.40497433094424,,
5083.81846368175,0.665117398382426,,
5253.27907913781,4.76885315152467,,
5422.73969459387,2.81149858434219,,
5592.20031004993,-1.94349429928625,,
5761.66092550598,-5.27522036323935,,
5931.12154096204,-4.0230445226116,,
6100.5821564181,-2.32979042345542,,
6270.04277187416,-1.84322152948589,,
6439.50338733022,-4.00883778558928,,
6608.96400278628,-6.4885506562001,,
6778.42461824233,-7.11770072597428,,
6947.88523369839,-3.51987988475666,,
7117.34584915445,3.86932236817083,,
7286.80646461051,7.86896846478266,,
7456.26708006657,5.16439443471681,,
7625.72769552263,0.402908744535671,,
7795.18831097868,-1.17502571804143,,
7964.64892643474,0.312417745580024,,
8134.1095418908,1.77213710225478,,
8303.57015734686,3.71472566879893,,
8473.03077280292,3.16787622017146,,
8642.49138825898,0.107270578429598,,
8811.95200371503,-5.18926823285583,,
8981.41261917109,-6.01617174907442,,
9150.87323462715,-4.24853452986499,,
9320.33385008321,-2.39154380115142,,
9489.79446553927,-3.50257615434093,,
9659.25508099533,-3.67956784783528,,
9828.71569645138,-2.5264190453956,,
9998.17631190744,-1.38117004418527,,
10167.6369273635,0.626747949911078,,
10337.0975428196,2.93802595637535,,
10506.5581582756,2.7428572224002,,
10676.0187737317,-1.51247690313103,,
10845.4793891877,-4.36185995527921,,
11014.9400046438,-2.83483023426379,,
11184.4006200999,0.66693826654664,,
11353.8612355559,1.16740882505037,,
11523.321851012,-1.75469118558685,,
11692.782466468,-5.98384867907152,,
11862.2430819241,-8.14784300621832,,
12031.7036973801,-8.0613060785261,,
12201.1643128362,-2.30141237057396,,
12370.6249282923,4.95527324423238,,
12540.0855437483,5.27705171228299,,
12709.5461592044,0.47574753816516,,
12879.0067746604,-3.58463030487546,,
13048.4673901165,-3.03884514048186,,
13217.9280055726,-1.16440425319743,,
13387.3886210286,0.0759879017838102,,
13556.8492364847,-0.0218630976451095,,
13726.3098519407,-1.46464016787286,,
13895.7704673968,-3.58808890999862,,
14065.2310828528,-3.42487691710048,,
14234.6916983089,-0.729842462579108,,
14404.152313765,0.452724979205959,,
14573.612929221,-1.94245331068887,,
14743.0735446771,-4.50615562597231,,
14912.5341601331,-1.80310957806723,,
15081.9947755892,2.4807270758909,,
15251.4553910453,6.82673141466657,,
15420.9160065013,9.00692951433666,,
15590.3766219574,7.8795306488777,,
15759.8372374134,1.50639210515365,,
15929.2978528695,-5.50903148714278,,
16098.7584683255,-8.02997785509215,,
16268.2190837816,-6.30940994451958,,
16437.6796992377,-3.72454276468197,,
16607.1403146937,-3.24945152491709,,
16776.6009301498,-4.3630624973448,,
16946.0615456058,-5.69139475600168,,
17115.5221610619,-6.17476395410704,,
17284.982776518,-4.45607089970363,,
17454.443391974,-0.938251894506538,,
17623.9040074301,1.10546542635275,,
17793.3646228861,-1.24405537484781,,
17962.8252383422,-4.19031364486727,,
18132.2858537982,-5.31201195679168,,
18301.7464692543,-3.29583161083428,,
