Meta Data
Label,Value,


Analytical Results
Table: General
Label,Value,Units
M Cursor Pos,342395.744,nm
M Cursor Width,0,nm
R Cursor Pos,1828069.504,nm
R Cursor Width,0,nm
Type,Two-Points Cursors,


Data Leveling Position
R Cursor Position,1828069.52104005 nm
R Cursor Width,0 nm
M Cursor Position,342395.743622258 nm
M Cursor Width,0 nm


Data
Lateral(nm),Height Data(nm),,
0,116.526581257523,,
154.193467727373,106.546239505217,,
308.386935454747,99.1379206076948,,
462.58040318212,94.9207583479205,,
616.773870909494,90.0315231061577,,
770.967338636867,90.5747339368761,,
925.16080636424,94.366836459258,,
1079.35427409161,95.330798771204,,
1233.54774181899,95.6103431681207,,
1387.74120954636,96.3602506085823,,
1541.93467727373,97.5501919907547,,
1696.12814500111,101.912124119046,,
1850.32161272848,107.512355783354,,
2004.51508045585,110.435983933995,,
2158.70854818323,109.879292109895,,
2312.9020159106,107.308484833076,,
2467.09548363797,105.93934743791,,
2621.28895136535,107.210771434832,,
2775.48241909272,107.633005126852,,
2929.67588682009,106.353999911559,,
3083.86935454747,102.945107850289,,
3238.06282227484,97.6685889828899,,
3392.25629000221,92.9940425625136,,
3546.44975772959,92.208346534655,,
3700.64322545696,96.2718544139381,,
3854.83669318433,100.265486313467,,
4009.03016091171,99.3307528772144,,
4163.22362863908,96.6053214832435,,
4317.41709636645,94.6932685341977,,
4471.61056409383,97.5179305994119,,
4625.8040318212,103.4574044699,,
4779.99749954858,110.095730664354,,
4934.19096727595,113.413856755525,,
5088.38443500332,112.193196394898,,
5242.5779027307,108.25292091704,,
5396.77137045807,106.632823221262,,
5550.96483818544,107.068654457562,,
5705.15830591282,105.849050724697,,
5859.35177364019,101.838000942229,,
6013.54524136756,97.1082586791301,,
6167.73870909494,95.3691038648387,,
6321.93217682231,96.2383505021804,,
6476.12564454968,99.0981581731212,,
6630.31911227706,101.878740289449,,
6784.51258000443,101.65509597487,,
6938.7060477318,99.7333796294813,,
7092.89951545918,99.3602682344674,,
7247.09298318655,104.18206128923,,
7401.28645091392,110.196852789061,,
7555.4799186413,114.327673874764,,
7709.67338636867,114.910589431901,,
7863.86685409604,112.483247653354,,
8018.06032182342,107.954599722115,,
8172.25378955079,104.836047045502,,
8326.44725727816,104.024167904801,,
8480.64072500554,105.252461858537,,
8634.83419273291,104.252762883091,,
8789.02766046028,99.7954374128778,,
8943.22112818766,95.204645612232,,
9097.41459591503,93.8316441628703,,
9251.6080636424,96.2195125593906,,
9405.80153136978,99.0904436287645,,
9559.99499909715,102.387190369757,,
9714.18846682452,103.634719964012,,
9868.3819345519,104.110787787579,,
10022.5754022793,105.507777652339,,
10176.7688700066,109.856450573534,,
10330.962337734,113.164753470415,,
10485.1558054614,112.671761736184,,
10639.3492731888,107.559708983298,,
10793.5427409161,103.389602309806,,
10947.7362086435,102.605946426171,,
11101.9296763709,103.907291966302,,
11256.1231440983,104.428655104834,,
11410.3166118256,102.196536127197,,
11564.510079553,97.0847745396612,,
11718.7035472804,91.0460880969324,,
11872.8970150078,90.0232707197145,,
12027.0904827351,94.9456605954772,,
12181.2839504625,102.023618851635,,
12335.4774181899,106.145548841458,,
12489.6708859172,107.734227495034,,
12643.8643536446,108.184215423657,,
12798.057821372,108.792985723269,,
12952.2512890994,109.951684338499,,
13106.4447568267,111.227823503774,,
13260.6382245541,111.856556830741,,
13414.8316922815,108.966103304573,,
13569.0251600089,105.004110469868,,
13723.2186277362,103.467255339699,,
13877.4120954636,104.810097812441,,
14031.605563191,104.943628853121,,
14185.7990309184,102.585493903446,,
14339.9924986457,98.8965603868877,,
14494.1859663731,95.3126603107616,,
14648.3794341005,94.0431754615209,,
14802.5729018278,97.0944806122759,,
14956.7663695552,102.398808046924,,
15110.9598372826,106.696467873673,,
15265.15330501,106.689239623027,,
15419.3467727373,105.362637472915,,
15573.5402404647,106.423403308509,,
15727.7337081921,110.463558041566,,
15881.9271759195,113.518851739246,,
16036.1206436468,113.792175645379,,
16190.3141113742,110.393642580134,,
16344.5075791016,104.306856810762,,
16498.701046829,99.041420471669,,
16652.8945145563,98.5562702116615,,
16807.0879822837,100.869021279285,,
16961.2814500111,101.372991587787,,
17115.4749177384,98.2809360280575,,
17269.6683854658,95.5586321969429,,
17423.8618531932,96.028445099567,,
17578.0553209206,99.9429426111681,,
17732.2487886479,104.636525997205,,
17886.4422563753,107.762398627619,,
18040.6357241027,107.46368882477,,
18194.8291918301,105.719002443636,,
18349.0226595574,105.80837376946,,
18503.2161272848,109.706432481825,,
18657.4095950122,113.933860130105,,
18811.6030627396,114.035443658385,,
18965.7965304669,109.161418936866,,
19119.9899981943,103.877390721136,,
19274.1834659217,99.733269757482,,
19428.376933649,98.5100766819785,,
19582.5704013764,98.4830241622643,,
19736.7638691038,99.8562523090986,,
19890.9573368312,99.3627884318652,,
20045.1508045585,98.1842499743703,,
20199.3442722859,99.0435773025128,,
20353.5377400133,103.123368350789,,
20507.7312077407,107.475930889502,,
20661.924675468,109.873531492089,,
20816.1181431954,109.474114143388,,
20970.3116109228,107.807264219294,,
21124.5050786502,106.476044028533,,
21278.6985463775,108.222271862532,,
21432.8920141049,111.923589759597,,
21587.0854818323,115.18089672752,,
21741.2789495596,113.21931225774,,
21895.472417287,107.984552765702,,
22049.6658850144,102.112232399871,,
22203.8593527418,99.930910345407,,
22358.0528204691,100.653988202186,,
22512.2462881965,101.322765242802,,
22666.4397559239,99.7230621392766,,
22820.6332236513,96.9603208473192,,
22974.8266913786,95.5182948882473,,
23129.020159106,98.7128121830043,,
23283.2136268334,104.937764920665,,
23437.4070945608,111.102465897982,,
23591.6005622881,111.720965362431,,
23745.7940300155,110.486780195838,,
23899.9874977429,110.21613819244,,
24054.1809654702,112.383104620244,,
24208.3744331976,113.374487238345,,
24362.567900925,111.89625272932,,
24516.7613686524,107.785294578368,,
24670.9548363797,102.138083712668,,
24825.1483041071,98.2087953065958,,
24979.3417718345,98.4422432835759,,
25133.5352395619,102.48044770885,,
25287.7287072892,105.388256202751,,
25441.9221750166,104.451336015909,,
25596.115642744,101.273611229363,,
25750.3091104714,100.051096259189,,
25904.5025781987,102.216232686835,,
26058.6960459261,106.03151691723,,
26212.8895136535,111.012337797332,,
26367.0829813809,113.488020564089,,
26521.2764491082,111.98507527619,,
26675.4699168356,108.414817550397,,
26829.663384563,106.735876353004,,
26983.8568522903,107.479763542588,,
27138.0503200177,106.821824025556,,
27292.2437877451,104.244243949612,,
27446.4372554725,100.615931551962,,
27600.6307231998,99.0679399644607,,
27754.8241909272,99.9907427958606,,
27909.0176586546,103.782248943447,,
28063.211126382,106.720540784113,,
28217.4045941093,105.837821397348,,
28371.5980618367,100.421005306114,,
28525.7915295641,97.5229990075124,,
28679.9849972915,100.918512938799,,
28834.1784650188,107.892738896725,,
28988.3719327462,113.905507579271,,
29142.5654004736,114.887951417706,,
29296.7588682009,112.895878141037,,
29450.9523359283,109.741417435112,,
29605.1458036557,109.622733331379,,
29759.3392713831,112.877378162005,,
29913.5327391104,115.50238784967,,
30067.7262068378,112.445501317456,,
30221.9196745652,105.529839817967,,
30376.1131422926,98.8856445635552,,
30530.3066100199,97.1342507570043,,
30684.5000777473,97.7637229105487,,
30838.6935454747,99.3048683477791,,
30992.887013202,100.086216479597,,
31147.0804809294,100.174023292557,,
31301.2739486568,101.365839210156,,
31455.4674163842,104.992871366943,,
31609.6608841115,110.187870738404,,
31763.8543518389,114.825431718507,,
31918.0478195663,114.663813865941,,
32072.2412872937,111.759167953568,,
32226.434755021,108.879445210365,,
32380.6282227484,108.761186286589,,
32534.8216904758,110.390386162182,,
32689.0151582032,110.786474773217,,
32843.2086259305,108.109001118275,,
32997.4020936579,102.500904928157,,
33151.5955613853,95.0667169278633,,
33305.7890291127,91.3930800439157,,
33459.98249684,93.0481017579128,,
33614.1759645674,98.3403086513106,,
33768.3694322948,101.777374387206,,
33922.5629000221,102.134504902971,,
34076.7563677495,102.936183987852,,
34230.9498354769,104.927851058119,,
34385.1433032043,109.425673454029,,
34539.3367709316,115.073900640877,,
34693.530238659,118.003946801304,,
34847.7237063864,116.319311140557,,
35001.9171741138,112.003355781685,,
35156.1106418411,109.440953000171,,
35310.3041095685,110.648791156717,,
35464.4975772959,110.987678837399,,
35618.6910450233,108.32691269939,,
35772.8845127506,102.660836596568,,
35927.077980478,97.6797449132937,,
36081.2714482054,94.9721094078457,,
36235.4649159327,96.9030642494726,,
36389.6583836601,101.739600022465,,
36543.8518513875,104.625883548681,,
36698.0453191149,103.235905189582,,
36852.2387868422,102.057309864909,,
37006.4322545696,105.417012138851,,
37160.625722297,111.675244895958,,
37314.8191900244,116.967128031835,,
37469.0126577517,119.68770209847,,
37623.2061254791,119.305984816982,,
37777.3995932065,115.622514468576,,
37931.5930609339,111.540347459741,,
38085.7865286612,109.47514760399,,
38239.9799963886,109.311296924463,,
38394.173464116,107.451786804101,,
38548.3669318434,102.419876276286,,
38702.5603995707,96.9845293614984,,
38856.7538672981,94.453159727429,,
39010.9473350255,94.9885001976938,,
39165.1408027528,97.7277489860055,,
39319.3342704802,101.113954185076,,
39473.5277382076,102.511704598714,,
39627.721205935,102.50189827685,,
39781.9146736623,102.975727125511,,
39936.1081413897,108.076416561822,,
40090.3016091171,115.818269975671,,
40244.4950768445,121.261694430162,,
40398.6885445718,120.749469628025,,
40552.8820122992,116.526729518203,,
40707.0754800266,111.918125117393,,
40861.268947754,109.706364946107,,
41015.4624154813,109.072925979392,,
41169.6558832087,108.196500249265,,
41323.8493509361,104.27012364482,,
41478.0428186634,97.808188012147,,
41632.2362863908,93.5361190893651,,
41786.4297541182,94.7135648073236,,
41940.6232218456,99.7902091799064,,
42094.8166895729,104.116075291864,,
42249.0101573003,106.271191070874,,
42403.2036250277,107.394133752438,,
42557.3970927551,108.05394889851,,
42711.5905604824,110.808316290283,,
42865.7840282098,116.054365022712,,
43019.9774959372,120.579539624264,,
43174.1709636646,119.838191588856,,
43328.3644313919,114.504741940658,,
43482.5578991193,108.351115988253,,
43636.7513668467,105.179697785964,,
43790.944834574,104.047252972811,,
43945.1383023014,104.314930732434,,
44099.3317700288,104.162789641022,,
44253.5252377562,101.12779727274,,
44407.7187054835,96.6511709192906,,
44561.9121732109,94.4352345059517,,
44716.1056409383,98.392803191852,,
44870.2991086657,105.217710395229,,
45024.492576393,110.206641519805,,
45178.6860441204,111.855416452498,,
45332.8795118478,113.441397214489,,
45487.0729795752,115.111136307111,,
45641.2664473025,118.157419611535,,
45795.4599150299,120.232673553759,,
45949.6533827573,119.838446946256,,
46103.8468504846,115.718452343652,,
46258.040318212,109.373794010761,,
46412.2337859394,106.688648703416,,
46566.4272536668,107.996422397532,,
46720.6207213941,109.424611620951,,
46874.8141891215,106.270256356476,,
47029.0076568489,99.6908736748737,,
47183.2011245763,94.1629823082221,,
47337.3945923036,93.0826031568787,,
47491.588060031,97.1978531428889,,
47645.7815277584,104.403035587904,,
47799.9749954857,109.693299120257,,
47954.1684632131,111.647009968176,,
48108.3619309405,111.290054266382,,
48262.5553986679,112.303394284869,,
48416.7488663952,115.683103920055,,
48570.9423341226,117.888460599627,,
48725.13580185,116.19397078831,,
48879.3292695774,112.576412379675,,
49033.5227373047,109.674079207203,,
49187.7162050321,107.591670842686,,
49341.9096727595,107.021113112275,,
49496.1031404869,106.812901213585,,
49650.2966082142,104.419357955016,,
49804.4900759416,99.5758670778763,,
49958.683543669,96.3207864269694,,
50112.8770113964,97.9174849784358,,
50267.0704791237,103.321370051531,,
50421.2639468511,109.18995382413,,
50575.4574145785,112.723266236402,,
50729.6508823058,114.111279377966,,
50883.8443500332,112.242959141066,,
51038.0378177606,110.655557403168,,
51192.231285488,113.748623708227,,
51346.4247532153,119.373887243597,,
51500.6182209427,121.766055516659,,
51654.8116886701,118.248255428838,,
51809.0051563975,112.50212997683,,
51963.1986241248,106.983130829231,,
52117.3920918522,103.566276396642,,
52271.5855595796,102.352803986231,,
52425.779027307,103.082216589144,,
52579.9724950343,102.030279845394,,
52734.1659627617,99.1230430755808,,
52888.3594304891,98.2130276507596,,
53042.5528982164,102.244184339521,,
53196.7463659438,108.54242529375,,
53350.9398336712,112.233993571681,,
53505.1333013986,112.74865868911,,
53659.3267691259,113.353312767753,,
53813.5202368533,115.28298755886,,
53967.7137045807,118.888423904956,,
54121.9071723081,121.90001132583,,
54276.1006400354,122.024366093795,,
54430.2941077628,118.325827326972,,
54584.4875754902,111.129313634767,,
54738.6810432176,105.43343711676,,
54892.8745109449,103.537372597503,,
55047.0679786723,103.989648901948,,
55201.2614463997,104.108253915579,,
55355.4549141271,102.544186280671,,
55509.6483818544,101.172493300302,,
55663.8418495818,101.205794997506,,
55818.0353173092,103.837912106314,,
55972.2287850365,108.407278870812,,
56126.4222527639,112.817853145825,,
56280.6157204913,113.945164951085,,
56434.8091882187,113.318504022541,,
56589.002655946,112.671287058937,,
56743.1961236734,113.498519795083,,
56897.3895914008,114.655702329019,,
57051.5830591282,113.949457685752,,
57205.7765268555,111.26316689539,,
57359.9699945829,107.645229057707,,
57514.1634623103,104.803979202632,,
57668.3569300376,104.722662415377,,
57822.550397765,106.989968420028,,
57976.7438654924,108.552694786726,,
58130.9373332198,105.903087194047,,
58285.1308009471,101.782239260388,,
58439.3242686745,100.625253034525,,
58593.5177364019,103.79225031351,,
58747.7112041293,108.40359938044,,
58901.9046718566,113.105475400051,,
59056.098139584,115.609623455185,,
59210.2916073114,115.770381123091,,
59364.4850750388,114.328287026672,,
59518.6785427661,115.153201321714,,
59672.8720104935,117.836868474054,,
59827.0654782209,117.123101871928,,
59981.2589459482,112.318168812761,,
60135.4524136756,106.915260217316,,
60289.645881403,104.87680144081,,
60443.8393491304,104.841514627355,,
60598.0328168577,105.481770538035,,
60752.2262845851,105.722100022732,,
60906.4197523125,104.483937661569,,
61060.6132200399,101.76593594455,,
61214.8066877672,101.273899736365,,
61369.0001554946,104.815669019462,,
61523.193623222,110.944636981421,,
61677.3870909494,115.049024602496,,
61831.5805586767,116.620944324192,,
61985.7740264041,117.822240239302,,
62139.9674941315,118.258441062203,,
62294.1609618588,117.715928419647,,
62448.3544295862,117.567090459954,,
62602.5478973136,117.022716607749,,
62756.741365041,114.022242691246,,
62910.9348327683,108.88860747505,,
63065.1283004957,104.690049747468,,
63219.3217682231,104.014118663589,,
