"Freq [GHz]","dB(St(1,1)) [] - gpillar_r='1um'","dB(St(1,1)) [] - gpillar_r='3um'","dB(St(1,1)) [] - gpillar_r='5um'","dB(St(1,1)) [] - gpillar_r='7um'","dB(St(1,1)) [] - gpillar_r='9um'","dB(St(1,1)) [] - gpillar_r='10um'"
1,-41.672116746268,-40.3584410286502,-40.3331911927324,-41.8187342472377,-41.0499965598371,-42.5630289571328
1.1,-41.7426969586947,-40.3901390881008,-40.352557822666,-41.8115171082489,-41.060084409288,-42.6316827111116
1.2,-41.5846317624674,-40.2429918545289,-40.1994589065968,-41.5929818448443,-40.861637115734,-42.4498247220788
1.3,-41.2805917293801,-39.9867752000526,-39.9415212687406,-41.2421221330299,-40.5317513582607,-42.1064410635855
1.4,-40.8919898695244,-39.6698881301161,-39.6254140719041,-40.8165180710812,-40.1267535796172,-41.6693372047087
1.5,-40.4602969406953,-39.3233691269502,-39.2809936214543,-40.3546883615341,-39.6843979980984,-41.1850552919502
1.6,-40.011802435999,-38.9661094970103,-38.9264148588019,-39.8809172043895,-39.2285587034277,-40.6833552113885
1.7,-39.5624135527649,-38.6091463332161,-38.5722831632313,-39.4098112523636,-38.7736741105936,-40.1822798503632
1.8,-39.1213382796824,-38.2586538684419,-38.2245327238771,-38.94973492626,-38.3280952089206,-39.6922254275731
1.9,-38.693601481194,-37.9178708542157,-37.8862778354158,-38.5051500053224,-37.8963623468721,-39.2187892090698
2,-38.2816696719646,-37.5882952339136,-37.5589599890094,-38.0781303224782,-37.480677162109,-38.7646324336708
2.1,-37.8864716542925,-37.270410672264,-37.2430455995544,-37.6693174787365,-37.0818305722746,-38.330658173625
2.2,-37.5080312064711,-36.9641242320489,-36.9384464757392,-37.2785158796062,-36.6997806825462,-37.9167430147263
2.3,-37.1458566821256,-36.6690285494525,-36.6447717638506,-36.9050603115811,-36.3340103708185,-37.5221870352311
2.4,-36.7991797693643,-36.3845579679463,-36.3614780159257,-36.548041459307,-35.9837474579298,-37.1459884134816
2.5,-36.4671008721386,-36.1100806539349,-36.0879577332358,-36.2064429813642,-35.6480993640321,-36.7870094690722
2.6,-36.1486766334899,-35.8449520349461,-35.8235907341646,-35.8792235494288,-35.3261345098225,-36.4440756150793
2.7,-35.8429715517377,-35.5885448651995,-35.5677730598689,-35.5653646433412,-35.0169305079046,-36.1160328861142
2.8,-35.5490873024105,-35.3402651965393,-35.3199323393036,-35.263897075278,-34.7196016402517,-35.8017799345199
2.9,-35.2661782495749,-35.0995599027858,-35.0795350442947,-34.9739143667795,-34.4333134474046,-35.5002843603505
3,-34.9934584600463,-34.8659192077439,-34.8460889507533,-34.6945780833122,-34.1572893529945,-35.2105895165464
3.1,-34.7302035617258,-34.6388763282166,-34.6191428338206,-34.4251183412578,-33.8908124329248,-34.9318156200079
3.2,-34.4757495516329,-34.4180055227898,-34.3982846353387,-34.1648315123702,-33.6332242968993,-34.6631575587002
3.3,-34.2294898797645,-34.2029193315879,-34.1831388560322,-33.9130763975257,-33.3839223270727,-34.403880882607
3.4,-33.9908716403507,-33.9932654795148,-33.9733636244788,-33.6692696626308,-33.1423560583184,-34.1533168989055
3.5,-33.759424118181,-33.7887473452444,-33.7686711124015,-33.4329150111897,-32.9080563897322,-33.9108944363215
3.6,-33.5346830641143,-33.5890698369881,-33.568774107455,-33.2035241173064,-32.6805591020656,-33.6760533570872
3.7,-33.3161974775028,-33.3939434513322,-33.3733900380193,-32.9806235286733,-32.4594118223608,-33.448252675012
3.8,-33.1035883519471,-33.2031270825513,-33.1822835326237,-32.7638153998997,-32.2442338848856,-33.2270364086141
3.9,-32.8965101479419,-33.0164006080807,-32.9952393855038,-32.5527372870082,-32.0346774830653,-33.0119895604261
4,-32.6946474968629,-32.8335627291101,-32.8120605065382,-32.3470585916961,-31.8304245051343,-32.8027341188893
4.1,-32.4977122055044,-32.6544290328988,-32.6325660803121,-32.1464773467646,-31.6311836547441,-32.5989254218246
4.2,-32.305440549189,-32.4788302602289,-32.4565899186108,-31.9507173240041,-31.4366878448073,-32.4002488645715
4.3,-32.1175908352925,-32.306610759766,-32.2839789891064,-31.7595254407837,-31.2466918468505,-32.2064169300127
4.4,-31.9339412160862,-32.1376271109735,-32.1145921029186,-31.5726694395834,-31.0609701754823,-32.0171665151263
4.5,-31.7542877288828,-31.9717468979764,-31.9482987444593,-31.389935814583,-30.8793151869943,-31.8322565281811
4.6,-31.5784425417989,-31.8088476179768,-31.7849780281331,-31.2111279603882,-30.7015353717249,-31.6514657313519
4.7,-31.4062323844802,-31.6488157092358,-31.6245177678182,-31.0360645195635,-30.5274538210421,-31.4745908048814
4.8,-31.2374971445638,-31.4915456851023,-31.4668136464438,-30.8645779075101,-30.3569068513028,-31.3014446105992
4.9,-31.0720886122439,-31.3369393619921,-31.3117684743347,-30.6965129952027,-30.1897427686928,-31.1318546344324
5,-30.909869356944,-31.1849051705628,-31.1592915262614,-30.5317259322423,-30.0258207603578,-30.9656615893766
5.1,-30.7507117216844,-31.0353575405572,-31.009297948288,-30.3700830945305,-29.8650098986469,-30.8027181621643
5.2,-30.5944969222394,-30.8882163508994,-30.8617082265559,-30.2114601425896,-29.7071882465921,-30.642887888532
5.3,-30.441114239567,-30.7434064376205,-30.7164477110658,-30.055741178122,-29.5522420539443,-30.486044143527
5.4,-30.2904602952618,-30.6008571530692,-30.5734461883399,-29.902817987813,-29.4000650341806,-30.3320692347048
5.5,-30.1424384009247,-30.4605019706449,-30.4326374975702,-29.7525893646532,-29.2505577138923,-30.1808535873443
5.6,-29.9969579733716,-30.3222781299715,-30.2939591854907,-29.6049604981837,-29.10362684687,-30.0322950119633
5.7,-29.8539340085177,-30.186126318034,-30.1573521957641,-29.459842426063,-28.9591848860239,-29.8862980454528
5.8,-29.713286607587,-30.0519903823249,-30.0227605891648,-29.3171515402456,-28.8171495070162,-29.7427733580805
5.9,-29.5749405500191,-29.9198170725142,-29.8901312912621,-29.1768091418328,-28.6774431781473,-29.6016372194427
6,-29.438846122207,-29.7895740844002,-29.7594321409674,-29.0387626538058,-28.5400142154449,-29.4628329430721
6.1,-29.3049139080686,-29.6611941370148,-29.6305959755273,-28.9029191403941,-28.4047708423754,-29.3262633349168
6.2,-29.1730806493277,-29.5346314370447,-29.503577092966,-28.7692124705059,-28.2716478148579,-29.1918588706296
6.3,-29.0432864232069,-29.4098422828818,-29.3783318624744,-28.6375800220048,-28.1405833242671,-29.0595539526503
6.4,-28.9154743853899,-29.2867849097977,-29.2548185724504,-28.5079624133779,-28.0115187365989,-28.9292865918998
6.5,-28.7895905368597,-29.1654193495974,-29.1329972926531,-28.3803032601793,-27.8843983555098,-28.8009981198277
6.6,-28.6655835121711,-29.0457073032598,-29.0128297490325,-28.2545489537166,-27.7591692068205,-28.6746329277071
6.7,-28.543404386988,-28.9276120252367,-28.8942792099485,-28.1306484597218,-27.6357808423329,-28.5501382303959
6.8,-28.4230065029481,-28.811098218223,-28.7773103826342,-28.0085531349981,-27.5141851610383,-28.4274638520822
6.9,-28.3043453081265,-28.6961319373445,-28.6618893188756,-27.8882165602495,-27.3943362460027,-28.3065620317913
7,-28.1873782115533,-28.5826805028172,-28.5479833289905,-27.7695943874941,-27.2761902153935,-28.1873872466679
7.1,-28.0720644504079,-28.4707124202354,-28.4355609032859,-27.6526442006322,-27.1597050862749,-28.0698960512559
7.2,-27.9583649686518,-28.360197307734,-28.3245916402572,-27.5373253878899,-27.044840649942,-27.9540469311821
7.3,-27.8462423059961,-28.2511058293515,-28.2150461808695,-27.4235990249969,-26.9315583576917,-27.8398001698208
7.4,-27.7356604962124,-28.1434096339865,-28.1068961483309,-27.3114277680707,-26.8198212160408,-27.727117726659
7.5,-27.6265849738979,-28.0370812994069,-28.0001140928263,-27.2007757552911,-26.7095936905042,-27.6159631262214
7.6,-27.518982488897,-27.9320942808276,-27.8946734407358,-27.0916085165381,-26.6008416171355,-27.5063013565252
7.7,-27.4128210276627,-27.8284228636175,-27.79054844791,-26.9838928902532,-26.493532121113,-27.3980987761466
7.8,-27.3080697409141,-27.7260421197465,-27.6877141566185,-26.8775969468592,-26.3876335417256,-27.2913230290718
7.9,-27.2046988770089,-27.6249278676205,-27.5861463558253,-26.7726899181375,-26.283115363178,-27.1859429665913
8,-27.1026797205109,-27.5250566349879,-27.4858215444822,-26.6691421320246,-26.1799481506915,-27.0819285755709
8.1,-27.0019845354803,-27.4264056246334,-27.3867168975591,-26.5669249523418,-26.0781034914276,-26.979250912501
8.2,-26.9025865130637,-27.3289526826048,-27.2888102345611,-26.466010723019,-25.9775539398104,-26.8778820427858
8.3,-26.8044597230016,-27.2326762687405,-27.1920799903061,-26.3663727164177,-25.8782729668595,-26.7777949847883
8.4,-26.7075850578443,-27.1375609937441,-27.0965107514541,-26.2679910918405,-25.7802408839578,-26.6789696898342
8.5,-26.6119378733145,-27.0435861784184,-27.0020818171495,-26.1708404888292,-25.683432510798,-26.58138057904
8.6,-26.517488532709,-26.9507263194116,-26.9087676654269,-26.0748905857699,-25.5878177305418,-26.4849971042928
8.7,-26.424214221352,-26.8589620901227,-26.816548952587,-25.9801179423909,-25.4933732627072,-26.3897956375173
8.8,-26.3320928073018,-26.7682746576258,-26.7254068308587,-25.8864998373469,-25.400076537981,-26.2957532800418
8.9,-26.2411028102477,-26.6786456633641,-26.6353229291522,-25.7940142348205,-25.3079056654747,-26.2028478275079
9,-26.1512233724866,-26.5900572050548,-26.5462793350009,-25.7026397533237,-25.2168394021404,-26.111057737244
9.1,-26.0624342318066,-26.5024918197057,-26.458258577593,-25.6123556365218,-25.1268571241742,-26.0203620978895
9.2,-25.9747156961226,-26.415932467651,-26.3712436118034,-25.523141725917,-25.0379388002457,-25.9307406010806
9.3,-25.8880486197194,-26.3303625175257,-26.2852178031473,-25.4349784352467,-24.9500649664132,-25.842173515025
9.4,-25.8024143809752,-26.2457657321029,-26.2001649135802,-25.3478467264608,-24.8632167025916,-25.7546416598074
9.5,-25.7177948614464,-26.162126254927,-26.116069088082,-25.2617280871583,-24.7773756104534,-25.6681263842871
9.6,-25.6341724262064,-26.0794285976817,-26.032914841962,-25.1766045093701,-24.6925237926555,-25.5826095444548
9.7,-25.5515299053397,-25.9976576282362,-25.950687048833,-25.0924584695882,-24.6086438332901,-25.4980734831356
9.8,-25.4698505765028,-25.916798559319,-25.8693709292044,-25.0092729099468,-24.525718779471,-25.4145010109288
9.9,-25.3891181484691,-25.8368369377734,-25.7889520396492,-24.9270312204729,-24.4437321239704,-25.331875388289
10,-25.3093167455824,-25.7577586343511,-25.7094162625041,-24.845717222326,-24.3626677888324,-25.25018030866
10.1,-25.230430893052,-25.6795498340065,-25.6307497960649,-24.7653151519581,-24.2825101098911,-25.1693998825806
10.2,-25.1524455030239,-25.6021970266546,-25.5529391452425,-24.6858096461254,-24.2032438221331,-25.089518622689
10.3,-25.075345861373,-25.5256869983605,-25.4759711126471,-24.6071857276954,-24.1248540458425,-25.0105214295585
10.4,-24.9991176151603,-25.4500068229301,-25.39983279007,-24.5294287921897,-24.0473262734789,-24.9323935783026
10.5,-24.9237467607094,-25.3751438538743,-25.324511550336,-24.4525245950142,-23.9706463572369,-24.8551207058934
10.6,-24.8492196322538,-25.3010857167196,-25.2499950394972,-24.3764592393275,-23.8948004972439,-24.7786887991417
10.7,-24.7755228911163,-25.2278203016429,-25.1762711693437,-24.3012191645047,-23.8197752303567,-24.7030841832906
10.8,-24.7026435153811,-25.1553357564066,-25.103328110204,-24.2267911351543,-23.745557419517,-24.6282935111784
10.9,-24.630576557997,-25.0836279109938,-25.0311617153166,-24.1531699425252,-23.6721419124713,-24.5543114813096
11,-24.5593016000843,-25.0126777629329,-24.9597530067954,-24.0803350218958,-23.5995082906218,-24.4811174039107
11.1,-24.488806520368,-24.9424741996179,-24.8890908964674,-24.0082740607639,-23.5276443445964,-24.4086988628891
11.2,-24.4190794769635,-24.8730063401561,-24.8191645280407,-23.9369750324203,-23.4565381532108,-24.3370437310214
11.3,-24.350108899039,-24.8042635295236,-24.7499632709464,-23.8664261872283,-23.3861780752057,-24.2661401614348
11.4,-24.2818834787912,-24.7362353329108,-24.6814767142882,-23.7966160442603,-23.3165527413874,-24.1959765794545
11.5,-24.2143921637076,-24.6689115302428,-24.613694660856,-23.7275333832653,-23.2476510471583,-24.1265416747905
11.6,-24.1476241490946,-24.6022821108604,-24.5466071211522,-23.6591672369424,-23.1794621454206,-24.0578243940395
11.7,-24.0815688708512,-24.5363372683461,-24.4802043073734,-23.5915068834976,-23.1119754398462,-23.989813933478
11.8,-24.0162159984652,-24.4710673954831,-24.4144766272749,-23.5245418394588,-23.0451805785038,-23.9224997321216
11.9,-23.9515554282159,-24.4064630793309,-24.3494146778363,-23.4582618527293,-22.9790674478386,-23.8558714650294
12,-23.8875772765611,-24.3425150964074,-24.2850092386249,-23.3926568958575,-22.9136261670053,-23.7899190368277
12.1,-23.8242718736935,-24.2792144079599,-24.2212512647378,-23.3277171595023,-22.8488470825529,-23.7246325754306
12.2,-23.7616297572465,-24.2165521553154,-24.1581318791806,-23.2634330460748,-22.7847207634707,-23.6600024259307
12.3,-23.6996416661346,-24.1545196552941,-24.095642364514,-23.1997951635381,-22.7212379965995,-23.5960191446309
12.4,-23.6382985345112,-24.0931083956738,-24.0337741535797,-23.1367943193456,-22.6583897824226,-23.5326734931872
12.5,-23.5775914858283,-24.0323100306909,-23.9725188190925,-23.074421514502,-22.596167331246,-23.4699564328242
12.6,-23.5175118269858,-23.9721163765659,-23.9118680618762,-23.0126679377317,-22.5345620597835,-23.4078591185816
12.7,-23.458051042556,-23.9125194070377,-23.8518136975318,-22.9515249597391,-22.4735655881544,-23.346372893537
12.8,-23.3992007890744,-23.8535112488965,-23.7923476413675,-22.8909841275527,-22.4131697372956,-23.2854892829444
12.9,-23.3409528893898,-23.7950841775012,-23.7334618915325,-22.8310371589417,-22.3533665267703,-23.2251999882057
13,-23.2832993270708,-23.7372306122729,-23.6751485104925,-22.7716759369051,-22.2941481729202,-23.1654968805776
13.1,-23.2262322408717,-23.679943112154,-23.6173996053298,-22.7128925042344,-22.235507087245,-23.1063719944866
13.2,-23.1697439192706,-23.623214371031,-23.5602073078896,-22.6546790581625,-22.177435874781,-23.0478175202935
13.3,-23.1138295586344,-23.5670398823638,-23.5035664079464,-22.5970306647995,-22.1199300558017,-22.9898285179665
13.4,-23.0584816257051,-23.5114124961157,-23.4474689231503,-22.539939708362,-22.0629825165822,-22.9323973581099
13.5,-23.0036900309375,-23.4563225834211,-23.3919042834943,-22.4833960666156,-22.0065836720644,-22.8755138921203
13.6,-22.9494476131227,-23.4017633347908,-23.3368646067329,-22.4273925074769,-21.9507268662839,-22.8191708452224
13.7,-22.8957473357473,-23.3477280524482,-23.2823420412326,-22.3719219289718,-21.8954055954583,-22.7633610442035
13.8,-22.8425822831031,-23.2942101459616,-23.2283288266593,-22.3169773554506,-21.8406134730839,-22.7080774000806
13.9,-22.7899456570923,-23.2412031281604,-23.1748173884818,-22.2625519344315,-21.786344168385,-22.6533128871736
14,-22.7378307749515,-23.1887006114926,-23.1218004666301,-22.2086389342452,-21.7325912994794,-22.5990605178073
14.1,-22.6862310681648,-23.1366963050363,-23.0692712702601,-22.1552317426713,-21.6793482508919,-22.5453133118835
14.2,-22.635140082875,-23.0851840124344,-23.0172236393903,-22.102323866769,-21.6266078676994,-22.4920642607623
14.3,-22.5845514821332,-23.03415763109,-22.965652183072,-22.0499089340931,-21.574361956559,-22.439306285421
14.4,-22.534459050337,-22.9836111530288,-22.9145523576061,-21.9979806954612,-21.5226005066164,-22.3870321899769
14.5,-22.4848567001758,-22.9335386678926,-22.863920452432,-21.9465330293652,-21.4713105649162,-22.3352346137189
14.6,-22.4357384823258,-22.8839343685723,-22.8137534682064,-21.8955599480218,-21.4204748514391,-22.2839059882651
14.7,-22.387098597976,-22.834792559983,-22.7640488980065,-21.8450556049042,-21.3700706531672,-22.2330385118174
14.8,-22.338931414031,-22.7861076714188,-22.7148044494077,-21.7950143034121,-21.3200704615925,-22.1826241598871
14.9,-22.2912314804882,-22.7378742727526,-22.6660177613555,-21.74543050612,-21.2704468398365,-22.1326547605225
15,-22.2439935490609,-22.6900870944466,-22.6176861685342,-21.6962988438235,-21.2211831727949,-22.083122169129
15.1,-22.1972125916242,-22.6427410508794,-22.5698065487579,-21.6476141234169,-21.172286411901,-22.0340185771902
