"Freq [GHz]","lost_power_fraction [] - gpillar_r='1um'","lost_power_fraction [] - gpillar_r='3um'","lost_power_fraction [] - gpillar_r='5um'","lost_power_fraction [] - gpillar_r='7um'","lost_power_fraction [] - gpillar_r='9um'","lost_power_fraction [] - gpillar_r='10um'"
11.2,0.0317914593862377,0.0287854224690984,0.0285795762673902,0.0286331686488351,0.0281143089222318,0.0280175926874074
11.3,0.0319086432412424,0.02890017706829,0.0286941528880342,0.0287488391219611,0.0282272892394102,0.0281291396377616
11.4,0.0320266379401932,0.029015727833561,0.0288095337261676,0.0288655458736632,0.028341241644412,0.0282415135610997
11.5,0.0321454312535751,0.0291320639697094,0.0289257029783558,0.0289832915884638,0.0284561701758842,0.028354706260973
11.6,0.0322650102154992,0.0292491740633084,0.0290426427842841,0.0291020791668578,0.0285720798339583,0.0284687089242423
11.7,0.0323853610719427,0.0293670460389074,0.0291603328926913,0.0292219117314008,0.0286889767560122,0.028583512049242
11.8,0.0325064692246479,0.0294856671107809,0.0292787502698219,0.0293427926276839,0.0288068684245709,0.0286991053610709
11.9,0.0326283191706469,0.0296050237299576,0.0293978686421316,0.0294647254187624,0.0289257639143127,0.0288154777116379
12,0.0327508944374853,0.0297251015262974,0.029517657964752,0.0295877138712569,0.0290456741868661,0.0289326169616009
12.1,0.0328741775143365,0.0298458852454083,0.0296380838075598,0.0297117619310062,0.0291666124442443,0.0290505098407563
12.2,0.0329981497794496,0.0299673586803013,0.0297591066521077,0.029836873685668,0.0292885945545216,0.0291691417827443
12.3,0.0331227914245993,0.0300895045977855,0.0298806810956883,0.0299630533112332,0.0294116395669455,0.0292884967290876
12.4,0.0332480813775954,0.0302123046597611,0.0300027549643999,0.0300903049987635,0.029535770338187,0.0294085568965562
12.5,0.0333739972243454,0.0303357393398288,0.030125268346461,0.0302186328570836,0.0296610142973661,0.0295293025006357
12.6,0.0335005151325984,0.0304597878359131,0.030248152572006,0.0303480407864142,0.0297874043850401,0.0296507114264224
12.7,0.0336276097802351,0.0305844279800473,0.0303713291884554,0.0304785323171651,0.0299149802111913,0.0297727588365065
12.8,0.0337552542919655,0.0307096361470399,0.0304947090142612,0.0306101104073269,0.0300437894898937,0.0298954167033995
12.9,0.0338834201894966,0.0308353871644664,0.0306181914017153,0.0307427771910885,0.0301738898246705,0.0300186532516755
13,0.0340120773617401,0.0309616542274088,0.0307416639049602,0.0308765336706423,0.0303053509393592,0.0301424322923532
13.1,0.0341411940635005,0.0310884088226236,0.0308650026346719,0.0310113793425573,0.0304382574756227,0.0302667124290995
13.2,0.0342707369532655,0.0312156206683756,0.0309880736850081,0.0311473117498973,0.0305727125105531,0.0303914461128458
13.3,0.0344006729246148,0.0313432595967466,0.0311107334290754,0.0312843312161575,0.0307088509401256,0.0305165801652982
13.4,0.0345309652444279,0.0314712912007783,0.0312328371268934,0.0314224295247343,0.0308468298729179,0.0306420500972535
13.5,0.0346615746793499,0.0315996776993067,0.0313542506583437,0.0315615893764635,0.0309868321108417,0.0307677800282625
13.6,0.034792463188354,0.0317283817529057,0.0314748560952895,0.0317017941048878,0.0311290931725109,0.0308936839617145
13.7,0.0349235925132354,0.0318573645874929,0.0315945691502928,0.0318430214591406,0.0312739037989361,0.0310196617228352
13.8,0.0350549248563157,0.0319865863153922,0.0317133581069206,0.0319852426071821,0.0314216226150357,0.0311455965806594
13.9,0.0351864237635813,0.0321160064045229,0.0318312649521242,0.0321284210779594,0.0315726901548231,0.0312713526492276
14,0.0353180552479307,0.0322455843336218,0.0319484260512804,0.0322725116779903,0.0317276423360066,0.0313967721844565
14.1,0.0354497891854076,0.0323752804765081,0.032065088231184,0.0324174594345022,0.031887118630651,0.031521673008006
14.2,0.0355816010112563,0.0325050572622964,0.0321816150819755,0.032563198636625,0.0320518544543073,0.0316458464720605
14.3,0.0357134737304485,0.032634880659687,0.0322984784022486,0.0327096520669506,0.0322226364012107,0.0317690566578497
14.4,0.0358454002371271,0.0327647220301517,0.0324162316584717,0.032856730536198,0.032400179892764,0.0318910419071468
14.5,0.0359773859069967,0.0328945603844679,0.0325354662064194,0.0330043328505241,0.0325848603530223,0.0320115203433073
14.6,0.0361094513848578,0.0330243850565504,0.0326567559385389,0.0331523463499978,0.0327762013641508,0.0321302017344926
14.7,0.036241635435744,0.0331541987743661,0.0327806001748076,0.0333006481528521,0.0329720430937172,0.032246808786923
14.8,0.0363739976647423,0.03328402105671,0.0329073760710816,0.0334491072179104,0.0331675012219358,0.0323611114531057
14.9,0.0365066208426739,0.0334138917947607,0.0330373096467449,0.033597587292678,0.0333543359208723,0.0324729775265422
15,0.036639612512039,0.0335438747891467,0.033170469489254,0.0337459507448537,0.0335220224136235,0.0325824407171363
15.1,0.0367731055040571,0.0336740609122688,0.0333067813568293,0.0338940631826086,0.0336615504378256,0.0326897823456368
15.2,0.0369072569910371,0.033804570463856,0.0334460574896717,0.0340417986615052,0.033770479326078,0.0327956139180109
15.3,0.0370422457470051,0.0339355542055508,0.0335880326775753,0.0341890451670535,0.0338550104518206,0.0329009360995748
15.4,0.0371782674082048,0.0340671925259506,0.033732399894173,0.0343357099702734,0.0339267243462886,0.0330071396581451
15.5,0.0373155277172691,0.034199692233301,0.0338788405762096,0.0344817243995411,0.0339969846217938,0.0331159146944013
15.6,0.037454233987873,0.0343332806276643,0.0340270472217069,0.0346270475730356,0.0340734173195701,0.0332290551935344
15.7,0.0375945853073034,0.0344681967811042,0.0341767380878507,0.0347716687014747,0.0341595409384035,0.0333481868379145
15.8,0.037736781651657,0.0346046979279569,0.0343276751109203,0.0349156014731626,0.0342561142435366,0.0334745659285134
15.9,0.037880958104059,0.0347429976637689,0.034479633088728,0.0350589030152265,0.0343622072750224,0.0336086561080926
16,0.0380272289944836,0.034883296331583,0.034632436695078,0.0352016500740552,0.0344764676288106,0.0337502993703399
